,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.96,0.83,1.41,1.49,2.99,19.74,22.45,41.42,27.99,35.96,47.29,91.31,89.75,124.69,138.06
d_1,1.04,1.0,1.11,1.05,1.3,2.53,20.43,16.33,24.87,33.13,30.91,37.81,62.93,87.83,88.99,104.53
f_1,1.2,0.89,1.0,1.13,1.31,2.69,13.27,18.86,22.6,24.25,28.06,40.14,63.85,82.74,81.35,130.67
c_1,0.71,0.97,0.88,1.0,1.56,2.05,14.64,16.61,15.53,17.86,19.41,26.92,60.8,61.22,77.68,87.79
b_1,0.66,0.76,0.76,0.64,1.0,3.15,17.05,15.47,19.65,20.66,19.45,28.62,52.42,47.94,71.9,91.75
a_1,0.33,0.4,0.37,0.49,0.32,1.0,6.17,8.99,9.67,9.26,12.52,15.45,32.23,25.47,40.29,48.4
h_1,0.05,0.05,0.07,0.07,0.06,0.15,1.0,1.25,1.41,1.38,1.7,1.99,4.13,3.91,4.69,7.43
g_1,0.04,0.06,0.05,0.06,0.07,0.11,0.8,1.0,1.12,1.36,1.51,2.32,3.3,3.27,5.12,6.25
d_0,0.02,0.04,0.04,0.07,0.05,0.1,0.72,0.92,1.0,0.93,1.22,1.46,2.93,2.89,4.09,4.71
c_0,0.03,0.03,0.04,0.05,0.05,0.11,0.72,0.77,1.12,1.0,1.63,1.69,3.12,3.19,4.18,4.44
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.58,0.7,0.83,0.58,1.0,1.39,2.39,3.32,3.14,3.64
f_0,0.02,0.03,0.03,0.04,0.03,0.06,0.51,0.43,0.7,0.62,0.73,1.0,2.16,1.7,3.66,2.4
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.24,0.31,0.34,0.32,0.4,0.45,1.0,0.97,1.19,1.83
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.31,0.33,0.29,0.3,0.57,1.07,1.0,1.31,1.43
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.22,0.19,0.26,0.25,0.32,0.27,0.81,0.79,1.0,1.14
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.16,0.21,0.22,0.27,0.41,0.53,0.69,0.82,1.0
