,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10246.78,1074.61,1454.23,2213.9,2718.08,12645.69,1659049.33,2453626.56,9268126.28,6315453.72,11472272.33,20848977.7,46013841.16,65295055.11,21072007.64,112268635.11
f_1,1821.39,10405.43,1545.89,2374.47,2469.96,9942.33,1226725.95,2666395.88,3913774.31,6112741.81,11633691.83,4413417.81,39966512.42,67562134.36,65266058.96,138841117.21
d_1,1016.7,1241.72,17704.6,1438.06,2605.75,13625.95,2196931.45,3510987.18,1277669.37,11693055.98,12073457.17,15849913.15,50300579.0,56179582.69,63207241.13,129415693.84
c_1,1042.44,985.24,1704.77,22618.71,5501.45,12971.28,1259271.0,2770927.18,4805271.44,1413861.77,8272244.69,16656011.72,44920940.65,44786520.47,79047490.56,138922225.74
b_1,1040.09,1046.14,1657.56,2338.38,34166.32,23523.68,1672551.61,3485756.48,4185194.68,5670879.92,1433901.33,15050633.34,43718425.04,55306324.93,74566843.37,120773560.54
a_1,1057.76,1108.16,1806.96,1491.42,2954.15,230637.27,1727308.91,3598240.34,4136737.6,6469831.47,10105025.16,25089618.71,39944401.04,,69953137.92,115304151.62
h_1,1487.46,2711.12,3533.36,3989.73,4270.84,17860.48,11598016.22,5864044.04,5312661.96,8721586.55,16435526.22,24778790.45,25039206.11,78486181.7,148146772.64,329816632.46
g_1,1717.28,1470.34,4637.35,2916.03,4363.25,26877.01,2232367.67,24838995.72,5081473.6,11668803.19,19843382.27,49226532.27,68106640.62,69534272.06,128289058.3,95296468.75
d_0,1755.79,2111.32,1278.74,6783.49,4447.07,20323.31,3018969.11,3843253.26,21231359.76,8707553.42,16954980.28,34442611.38,74502101.95,103907369.76,170659088.78,254453494.52
c_0,2041.0,2181.75,3301.63,1355.58,4170.97,20221.4,4023950.31,5724386.59,8570947.36,29957685.48,40612883.33,43464281.08,76696667.36,112001902.54,126296553.66,234048670.57
b_0,2019.54,2305.73,3048.23,3812.2,1997.1,15445.37,3046819.05,5868168.51,8200123.89,10753590.56,63107630.74,33198582.63,98210850.92,226314690.5,173011375.38,301673388.91
f_0,1718.4,749.98,3422.25,4914.02,4964.74,26010.76,3240627.04,5813108.11,7728723.9,9757670.17,28405659.69,101915702.53,70799336.7,86440732.14,310783624.0,230496359.78
h_0,1479.4,3221.41,2745.11,3275.27,4595.93,23637.13,1033298.53,6450366.67,7958440.53,8732753.75,14241918.1,36099075.0,30642659.12,75169864.17,101347892.75,286182531.21
a_0,1740.95,2418.36,3230.44,5067.72,4651.29,,3404747.2,3664506.27,7216008.34,10276666.02,18082970.45,22027305.43,90934280.75,456451349.76,119265752.24,292298180.0
e_0,718.73,1595.88,3843.27,5228.26,5167.39,20204.11,4840746.04,6807814.44,6519485.92,13281178.98,18260165.71,40921694.98,83219257.84,93907220.34,617859552.14,236097025.41
g_0,1776.0,2020.71,4696.21,2567.77,5593.91,21396.28,2323958.99,1912729.21,6213758.47,10046322.16,15370935.79,34492180.35,65215986.1,99448329.61,117991608.8,114298613.19
