,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.45,1.18,1.42,1.39,1.1,0.49,0.57,0.68,0.48,0.45,0.77,0.34,0.49,0.43,0.48
e_1,0.98,0.66,1.4,1.54,1.44,1.28,0.63,0.71,0.62,0.5,0.52,0.65,0.44,0.42,0.49,0.82
d_1,1.48,1.54,0.65,1.32,1.5,1.25,0.58,0.89,0.42,0.64,0.47,0.46,0.36,0.5,0.3,0.48
c_1,1.46,1.3,1.9,0.64,1.51,1.22,0.59,0.31,0.72,0.61,0.49,0.5,0.46,0.48,0.35,0.4
b_1,1.65,1.6,1.53,0.96,0.63,2.05,0.78,0.56,0.66,0.64,0.84,0.53,0.42,0.49,0.51,0.45
a_1,2.4,1.78,1.94,1.99,0.94,0.57,1.25,0.69,1.23,0.58,0.87,0.64,0.66,0.94,0.5,0.63
h_1,2.54,2.22,2.24,2.27,1.93,1.43,0.58,0.7,1.07,0.79,0.78,0.69,0.86,0.64,0.67,0.72
d_0,2.33,1.37,3.45,3.12,2.31,2.04,1.28,0.62,1.06,0.86,0.92,0.83,0.68,0.79,0.79,0.82
g_1,2.46,2.35,2.51,2.37,2.41,1.92,0.84,0.98,0.55,0.88,0.86,0.95,0.61,0.88,0.95,0.75
c_0,2.46,2.54,1.46,4.03,2.46,2.53,1.3,1.04,1.0,0.62,1.05,0.88,0.83,0.8,0.76,0.88
b_0,2.68,2.36,2.19,3.34,3.36,2.01,1.14,0.97,1.16,0.57,0.61,0.84,0.75,0.99,0.65,0.73
f_0,4.2,1.99,2.56,2.48,2.67,2.72,1.36,0.9,0.76,0.8,0.99,0.6,0.78,0.92,0.51,0.97
h_0,2.91,2.51,2.8,2.95,3.06,2.21,1.63,1.12,1.14,0.9,0.9,0.91,1.1,0.86,0.92,0.68
a_0,2.7,3.34,2.49,2.92,3.7,3.17,1.7,1.33,1.12,1.05,0.66,1.02,0.84,0.59,0.96,1.14
g_0,3.12,2.55,3.36,3.1,2.96,3.06,1.1,1.04,1.87,1.01,1.09,1.27,0.65,0.79,1.06,0.87
e_0,4.1,3.17,2.67,3.69,3.13,2.83,1.28,0.96,1.47,1.07,1.14,0.56,0.98,1.1,0.79,0.57
