,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,35.86,0.08,0.06,0.06,0.07,0.07,0.27,0.22,0.38,0.8,0.36,0.35,0.3,0.46,,0.41
f_1,0.1,35.95,0.08,0.06,0.09,0.08,0.26,0.23,0.42,0.34,0.41,,0.38,0.56,0.29,0.51
d_1,0.05,0.08,37.29,0.05,0.08,0.07,0.32,0.31,0.65,,0.4,0.43,0.38,0.49,0.34,0.55
c_1,0.08,0.04,0.06,45.89,0.12,0.06,0.25,0.29,,0.5,0.42,0.45,0.23,0.63,0.38,0.53
b_1,0.08,0.05,0.08,0.06,51.27,0.15,0.27,0.27,0.31,0.33,,0.36,0.27,0.71,0.3,0.64
a_1,0.07,0.06,0.05,0.09,0.06,76.0,0.35,0.21,0.44,0.39,0.42,0.27,,0.61,,0.56
h_1,0.25,0.4,0.24,0.26,0.19,0.2,25.2,1.44,1.54,1.5,1.77,1.39,1.68,,1.49,1.92
g_1,0.21,0.27,0.37,0.34,0.22,0.28,0.8,29.93,1.48,1.42,0.97,2.35,0.95,2.56,1.58,
c_0,0.39,0.31,0.34,,0.3,0.31,1.64,1.79,17.96,1.57,3.52,2.04,1.3,2.65,1.88,4.2
d_0,0.33,0.24,,0.74,0.38,0.34,1.33,1.79,1.82,18.61,1.95,2.25,1.89,3.87,1.93,2.16
b_0,0.31,0.27,0.36,0.31,,0.29,1.64,1.71,1.49,1.6,19.29,2.08,4.38,3.51,2.28,3.96
f_0,0.27,,0.34,0.36,0.32,0.38,1.84,0.96,1.52,1.95,2.27,22.58,1.67,3.82,5.02,3.49
a_0,0.37,0.38,0.49,0.35,0.21,,1.91,1.32,1.76,1.43,1.39,2.02,28.13,3.25,1.77,2.72
h_0,0.52,0.82,0.56,0.62,0.62,0.34,,2.89,2.49,3.65,2.28,1.79,4.05,,2.08,6.75
e_0,,0.4,0.31,0.29,0.32,0.48,2.07,1.51,1.57,2.07,1.93,,,4.12,34.88,2.83
g_0,0.47,0.54,0.64,0.45,0.5,0.42,2.53,,4.97,1.56,3.19,4.94,3.52,3.36,2.84,
