,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.89,1.24,0.95,0.81,0.72,0.73,0.85,0.58,0.65,0.67,0.6,0.57,0.58,0.59
f_1,1.19,1.0,0.93,1.0,0.87,0.79,0.58,0.67,0.73,0.64,0.63,0.59,0.52,0.59,0.45,0.58
d_1,1.08,1.13,1.0,0.9,0.91,0.83,0.71,0.6,0.64,0.82,0.65,0.59,0.68,0.57,0.58,0.47
c_1,0.82,1.04,1.1,1.0,1.32,0.87,0.72,0.65,0.49,0.6,0.52,0.59,0.56,0.55,0.54,0.56
b_1,1.09,1.11,1.06,0.77,1.0,1.27,0.7,0.72,0.68,0.73,0.71,0.68,0.66,0.54,0.63,0.6
a_1,1.2,1.26,1.24,1.12,0.81,1.0,0.86,0.82,0.8,0.75,0.94,0.84,0.75,0.74,0.68,0.63
h_1,1.41,1.68,1.45,1.37,1.42,1.16,1.0,1.28,0.91,0.93,0.93,0.89,0.87,0.8,0.77,0.83
g_1,1.38,1.5,1.65,1.53,1.42,1.14,0.79,1.0,0.85,0.9,0.88,1.13,0.81,0.85,0.96,0.88
d_0,1.22,1.33,1.6,2.01,1.51,1.22,1.11,1.11,1.0,0.76,1.02,1.05,0.92,0.94,0.9,0.88
c_0,1.78,1.5,1.24,1.66,1.35,1.28,1.09,1.08,1.27,1.0,1.27,1.04,1.01,1.06,0.96,0.88
b_0,1.61,1.61,1.51,1.93,1.42,1.04,1.08,1.04,1.0,0.83,1.0,1.04,0.98,1.25,0.91,0.93
f_0,1.48,1.65,1.72,1.69,1.44,1.17,1.11,0.92,1.05,0.92,0.91,1.0,0.98,1.01,1.3,0.8
h_0,1.63,1.87,1.54,1.72,1.49,1.29,1.16,1.23,1.05,0.99,1.01,1.0,1.0,1.03,0.95,0.99
a_0,1.77,1.66,1.65,1.79,1.7,1.48,1.23,1.18,1.1,0.97,0.85,1.03,0.93,1.0,0.98,0.91
e_0,1.65,2.23,1.72,1.93,1.68,1.44,1.25,1.06,1.08,1.05,1.15,0.8,1.07,1.09,1.0,0.89
g_0,1.72,1.65,2.1,1.79,1.75,1.57,1.16,1.14,1.12,1.14,1.12,1.27,1.03,1.05,1.12,1.0
