,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.13,2.82,5.81,5.35,5.22,5.51,1.75,1.5,1.03,1.1,1.04,1.32,1.07,0.77,1.85,0.97
f_1,5.1,1.12,4.78,5.94,4.48,4.92,0.97,2.17,1.13,1.05,1.03,2.54,0.95,0.51,0.97,0.69
d_1,6.16,6.26,1.12,5.32,5.59,5.68,1.49,0.97,2.6,1.08,1.25,1.01,1.12,0.77,1.17,0.46
c_1,4.37,6.18,7.35,1.13,6.5,6.2,1.82,1.49,0.69,2.31,1.31,1.12,1.2,0.77,0.98,0.82
b_1,7.54,8.03,7.21,3.45,1.13,6.3,2.27,2.2,1.44,1.79,3.63,1.95,1.13,1.17,1.62,1.29
a_1,10.03,10.86,10.58,11.9,5.08,1.14,3.5,4.01,2.16,2.15,2.69,1.51,8.13,1.57,1.78,2.44
h_1,17.94,18.83,15.79,17.69,18.15,16.3,1.8,4.82,3.71,3.96,3.74,4.27,3.29,5.08,3.03,2.94
g_1,21.32,28.77,18.76,20.29,18.27,17.84,4.38,1.8,4.96,4.51,5.08,4.39,4.43,3.11,3.86,4.92
d_0,11.38,24.46,36.27,24.93,25.41,29.55,7.05,6.19,2.39,4.78,4.77,3.6,4.61,3.4,4.59,3.66
c_0,22.34,24.3,11.08,56.54,38.29,22.78,7.23,7.04,7.18,2.29,4.33,4.09,4.52,3.76,4.77,2.81
b_0,24.71,24.46,17.65,32.98,57.04,21.49,6.66,7.18,5.11,2.35,2.15,4.39,4.18,3.82,4.65,3.5
f_0,30.58,79.91,24.82,35.98,31.4,29.55,8.4,5.4,6.62,5.13,5.21,2.32,4.91,5.27,5.48,2.5
a_0,28.27,39.52,32.36,32.31,49.04,42.02,8.95,8.45,6.89,5.3,3.59,5.55,2.79,4.97,7.2,5.34
h_0,30.33,39.52,34.03,34.04,29.11,26.26,17.33,8.35,7.26,6.05,6.63,5.75,6.3,9.19,6.8,5.0
e_0,84.8,58.95,35.49,41.12,41.72,34.38,10.4,12.17,9.0,7.45,8.71,3.47,5.66,4.36,2.64,4.7
g_0,59.22,51.37,36.68,52.77,45.08,40.23,9.56,23.93,10.23,9.16,10.34,8.33,7.21,4.7,7.49,9.84
