,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,1.16,1.3,1.36,2.78,15.44,26.55,25.48,38.01,40.85,52.43,70.59,109.27,84.06,130.07
e_1,0.79,1.0,1.28,1.42,1.51,3.05,23.58,36.62,25.63,42.04,40.97,62.62,74.97,132.67,129.08,129.18
d_1,0.86,0.77,1.0,1.07,1.1,2.23,15.39,20.43,32.1,25.49,40.06,45.16,61.64,81.88,91.47,79.24
c_1,0.77,0.71,0.93,1.0,1.54,2.25,17.52,14.77,22.07,28.36,28.23,41.92,62.14,74.67,88.8,99.6
b_1,0.73,0.66,0.91,0.65,1.0,3.01,17.54,20.84,22.37,33.91,37.51,39.33,61.95,74.96,74.2,90.41
a_1,0.36,0.33,0.46,0.44,0.33,1.0,10.47,11.46,9.76,15.81,18.38,23.42,29.45,41.77,46.28,53.61
h_1,0.06,0.04,0.06,0.06,0.06,0.1,1.0,1.15,1.33,2.21,2.26,2.44,3.55,5.14,5.1,6.58
d_0,0.04,0.03,0.05,0.07,0.05,0.09,0.84,1.0,0.77,1.33,1.56,2.24,3.01,3.92,4.34,5.03
c_0,0.04,0.04,0.03,0.04,0.05,0.1,0.76,1.37,1.0,1.49,2.22,1.81,2.69,4.15,3.88,4.8
g_1,0.02,0.02,0.04,0.03,0.03,0.06,0.45,0.7,0.67,1.0,1.12,1.9,1.89,2.71,3.08,3.42
b_0,0.03,0.02,0.03,0.04,0.03,0.05,0.43,0.63,0.46,0.99,1.0,1.26,1.75,3.27,2.78,3.15
f_0,0.02,0.01,0.02,0.02,0.02,0.04,0.38,0.47,0.53,0.54,0.76,1.0,1.47,1.73,2.99,1.66
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.28,0.35,0.37,0.53,0.58,0.69,1.0,1.27,1.24,1.98
a_0,0.01,0.01,0.01,0.01,0.01,0.02,0.19,0.25,0.27,0.35,0.32,0.54,0.82,1.0,0.93,1.24
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.2,0.22,0.26,0.31,0.38,0.33,0.87,1.05,1.0,1.08
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.2,0.21,0.3,0.32,0.57,0.5,0.86,1.0,1.0
