,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,0.95,0.97,1.0,1.09,0.84,0.8,1.08,0.81,0.91,0.96,0.87,0.89,0.9,1.05
e_1,0.76,1.0,0.94,1.11,1.02,1.04,1.13,1.0,1.08,1.39,1.01,1.06,1.22,0.95,1.04,1.12
d_1,1.05,1.06,1.0,0.8,1.02,0.95,1.04,1.32,0.74,1.46,1.03,1.14,1.0,1.03,1.17,0.76
c_1,1.03,0.9,1.25,1.0,1.32,0.76,0.95,0.72,1.01,0.7,0.97,1.02,1.05,0.91,0.85,0.98
b_1,1.0,0.98,0.98,0.76,1.0,1.6,0.97,0.96,1.23,0.96,1.04,0.93,1.08,0.9,1.01,1.13
a_1,0.92,0.96,1.06,1.31,0.62,1.0,1.16,1.28,1.18,1.01,1.23,0.89,1.18,1.44,1.14,1.0
h_1,1.16,0.89,0.96,1.08,1.0,0.87,1.0,0.86,1.06,1.05,1.18,0.96,0.89,0.92,0.77,1.02
c_0,1.28,0.97,0.8,1.41,0.95,0.8,1.16,1.0,0.87,1.03,1.48,1.04,0.89,1.08,1.18,0.95
g_1,0.94,0.9,1.34,1.0,0.84,0.84,0.95,1.16,1.0,0.98,0.79,1.25,0.89,1.18,0.91,1.32
d_0,1.24,0.7,0.66,1.49,1.01,1.0,0.95,0.9,1.02,1.0,0.9,0.77,0.85,0.94,0.8,1.0
b_0,1.17,1.0,0.91,1.11,0.98,0.76,0.8,0.69,1.21,1.04,1.0,1.03,1.02,1.57,1.07,1.38
f_0,1.13,0.93,0.91,0.97,1.08,1.12,1.05,0.94,0.8,1.2,1.02,1.0,1.06,1.0,1.59,0.74
h_0,1.23,0.79,1.01,1.01,0.93,0.87,1.05,1.07,1.15,1.15,1.07,0.9,1.0,1.14,1.03,1.38
a_0,1.13,0.97,0.94,1.08,1.14,,1.07,0.92,0.91,0.97,0.65,0.96,0.85,1.0,0.99,1.07
e_0,1.18,1.0,0.89,1.14,1.06,0.82,1.14,0.88,1.12,1.21,1.0,0.59,0.95,0.96,1.0,1.28
g_0,1.02,0.95,1.3,1.05,0.9,0.83,0.97,1.02,,0.94,0.75,1.29,0.72,1.0,0.82,1.0
