,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.23,0.49,0.91,0.45,0.39,0.32,0.76,0.67,0.94,0.91,0.78,0.35,1.14,0.71,0.58,0.84
d_1,0.55,2.32,0.46,0.41,0.4,0.36,0.91,0.82,1.87,0.38,1.29,0.89,1.25,0.88,0.9,1.06
e_1,0.63,0.39,2.33,0.52,0.42,0.33,0.85,0.84,0.99,1.92,1.21,0.92,1.29,0.84,0.41,1.29
c_1,0.5,0.44,0.41,2.48,0.88,0.37,0.74,0.72,0.36,1.0,0.76,1.06,1.19,0.73,0.85,1.3
b_1,0.5,0.54,0.46,0.45,2.61,0.71,0.93,0.64,0.9,1.16,0.26,0.97,1.21,0.88,0.77,1.16
a_1,0.52,0.6,0.47,0.5,0.37,3.07,0.79,0.94,0.97,0.83,1.08,1.07,1.61,0.35,0.83,0.95
h_1,0.84,0.65,0.49,0.66,0.42,0.36,3.07,1.38,1.0,1.0,0.95,1.08,1.0,0.86,1.05,1.82
g_1,0.52,0.98,0.49,0.64,0.48,0.37,1.17,3.29,0.99,0.85,1.02,1.66,1.39,1.09,0.96,0.75
c_0,0.77,0.7,0.55,0.36,0.4,0.46,1.06,1.05,2.64,0.97,2.28,1.15,1.67,1.27,1.0,1.57
d_0,0.68,0.28,0.6,1.21,0.5,0.41,1.05,0.89,0.68,2.6,1.07,1.19,1.45,0.91,0.93,1.21
b_0,0.73,0.58,0.64,0.58,0.34,0.41,1.23,1.14,1.22,1.15,2.69,1.11,1.64,1.98,1.04,1.34
f_0,0.37,0.78,0.49,0.71,0.5,0.44,1.4,1.08,1.33,0.92,1.34,2.83,1.91,1.17,2.27,1.48
h_0,0.91,0.67,0.51,0.57,0.58,0.42,0.67,1.34,1.08,1.13,1.29,1.08,1.03,1.0,1.02,1.85
a_0,0.74,0.56,0.63,0.63,0.52,0.16,1.33,0.89,1.34,1.19,1.11,1.27,1.85,3.01,1.16,1.56
e_0,0.7,0.71,0.26,0.69,0.61,0.41,1.3,1.07,1.26,1.14,1.36,1.36,1.51,0.86,3.2,1.45
g_0,0.61,1.12,0.4,0.53,0.51,0.42,1.2,0.57,1.48,0.92,1.15,1.87,1.55,1.09,1.14,0.85
