,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,11.36,0.74,0.58,0.85,0.61,0.62,0.93,0.9,2.31,0.82,0.98,1.02,1.06,1.13,0.7,0.77
f_1,1.72,12.26,0.58,0.65,0.58,0.53,0.86,0.78,0.86,0.64,0.51,0.77,0.88,0.66,0.62,0.96
d_1,0.64,0.63,15.21,0.52,0.56,0.66,0.79,0.99,0.56,2.72,1.1,1.32,1.03,0.97,1.04,0.95
c_1,0.51,0.63,0.63,14.85,1.66,0.6,0.87,0.88,0.78,0.43,0.81,0.63,0.99,0.93,1.0,0.94
b_1,0.49,0.66,0.58,0.65,14.99,1.7,1.09,1.01,0.83,0.99,1.08,0.61,0.92,0.85,1.02,0.99
a_1,0.52,0.77,0.71,0.74,0.7,23.84,1.02,0.68,0.82,0.85,0.89,1.02,0.95,0.59,0.82,1.07
h_1,0.69,1.05,0.91,0.75,0.66,0.6,3.87,1.72,0.9,0.99,1.19,1.01,0.69,1.06,1.17,1.35
g_1,0.6,0.61,1.55,0.65,0.58,0.71,1.11,4.57,0.87,1.09,2.31,1.0,1.11,1.23,1.62,0.81
d_0,0.56,0.75,0.51,1.91,0.82,0.71,1.14,0.87,2.06,0.76,1.1,1.0,1.12,1.2,1.14,1.18
c_0,0.8,0.77,0.92,0.49,0.55,0.71,1.07,1.14,1.01,2.52,1.4,3.51,1.24,1.5,1.32,1.45
f_0,0.5,0.55,0.95,0.98,0.73,0.82,1.17,1.2,1.12,1.18,2.96,1.45,1.31,1.35,3.23,1.45
b_0,0.8,0.74,1.06,0.72,0.53,0.53,1.04,1.19,0.9,0.9,1.27,2.86,1.39,3.34,1.49,1.34
h_0,0.68,1.11,0.99,0.78,0.65,0.78,0.65,1.43,1.02,0.87,1.13,1.05,0.75,0.89,1.26,1.61
a_0,0.76,0.83,0.89,0.7,0.68,0.57,1.16,1.09,0.94,1.01,1.23,1.06,1.25,3.03,1.44,1.16
e_0,0.41,1.05,0.96,0.75,0.75,0.59,1.27,1.14,1.03,1.31,0.99,1.29,1.27,1.51,3.25,1.38
g_0,0.51,0.53,2.0,0.92,0.61,0.65,1.02,0.93,0.86,1.22,1.86,1.36,1.22,1.15,1.11,0.85
