,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.92,0.45,0.36,0.45,0.34,0.22,0.38,0.34,0.31,0.6,0.33,0.33,0.27,0.35,0.18,0.24
f_1,0.67,0.92,0.38,0.35,0.3,0.22,0.36,0.32,0.3,0.35,0.33,0.21,0.25,0.32,0.13,0.25
d_1,0.41,0.45,0.93,0.29,0.34,0.22,0.41,0.37,0.62,0.27,0.37,0.31,0.27,0.35,0.22,0.31
c_1,0.42,0.41,0.42,0.91,0.54,0.25,0.36,0.28,0.22,0.33,0.26,0.29,0.23,0.3,0.19,0.28
b_1,0.38,0.43,0.4,0.34,0.9,0.45,0.41,0.32,0.32,0.31,0.2,0.31,0.18,0.36,0.21,0.25
a_1,0.43,0.43,0.41,0.4,0.32,0.89,0.42,0.35,0.35,0.33,0.32,0.29,0.21,0.36,0.21,0.27
h_1,0.44,0.61,0.5,0.36,0.24,0.22,0.67,0.45,0.4,0.31,0.36,0.33,0.27,0.31,0.23,0.37
g_1,0.41,0.45,0.62,0.42,0.31,0.21,0.39,0.65,0.4,0.38,0.36,0.44,0.27,0.39,0.27,0.26
c_0,0.47,0.49,0.5,0.32,0.32,0.19,0.45,0.39,0.58,0.34,0.59,0.36,0.34,0.38,0.28,0.32
d_0,0.44,0.48,0.33,0.74,0.36,0.2,0.39,0.36,0.23,0.54,0.32,0.32,0.26,0.37,0.23,0.28
b_0,0.45,0.52,0.49,0.39,0.26,0.18,0.48,0.39,0.39,0.36,0.55,0.33,0.55,0.42,0.26,0.33
f_0,0.37,0.49,0.49,0.41,0.33,0.24,0.46,0.4,0.4,0.38,0.44,0.51,0.34,0.41,0.52,0.37
a_0,0.45,0.52,0.46,0.42,0.34,0.19,0.48,0.37,0.44,0.33,0.41,0.39,0.46,0.45,0.25,0.28
h_0,0.42,0.59,0.51,0.4,0.38,0.19,0.36,0.45,0.37,0.34,0.33,0.31,0.3,0.26,0.24,0.35
e_0,0.39,0.57,0.44,0.35,0.38,0.27,0.48,0.39,0.39,0.3,0.39,0.31,0.33,0.44,0.51,0.34
g_0,0.37,0.45,0.61,0.36,0.35,0.22,0.43,0.32,0.41,0.26,0.4,0.48,0.35,0.38,0.27,0.3
