,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.96,3.58,2.03,2.27,2.1,1.75,7.37,6.95,10.14,10.62,10.77,7.15,15.56,10.3,7.67,14.71
e_1,2.33,6.11,2.86,1.91,2.2,2.07,8.22,8.44,19.11,10.52,11.73,10.36,15.47,10.68,7.2,16.84
c_1,2.13,1.89,6.55,2.39,3.85,2.26,7.69,8.17,10.12,4.86,7.67,10.7,16.61,9.88,11.94,16.03
d_1,2.38,2.17,1.73,6.64,2.31,2.15,8.37,7.98,6.19,19.16,13.63,10.92,16.14,13.31,12.16,16.09
b_1,2.26,2.05,2.36,1.99,7.56,4.58,8.34,8.13,10.55,10.41,5.9,10.74,13.61,9.99,12.29,15.78
a_1,2.4,2.34,2.2,2.67,2.08,11.0,8.73,8.26,10.11,11.62,11.06,10.68,15.31,7.9,10.88,11.85
h_1,3.07,2.26,2.38,2.83,2.47,2.08,17.09,11.75,10.54,11.84,10.99,10.57,12.76,11.8,12.59,25.96
g_1,2.24,1.69,2.56,4.02,2.22,2.44,8.15,21.43,10.05,11.63,11.57,18.54,17.1,13.58,17.28,14.82
d_0,2.24,2.23,4.68,1.67,2.75,2.37,8.33,8.53,17.53,7.5,11.35,11.52,18.35,9.48,13.14,20.11
c_0,2.97,2.37,2.05,2.75,1.87,2.88,10.01,8.73,11.4,18.55,22.3,11.8,18.73,14.99,13.44,16.39
b_0,2.95,2.46,2.8,2.68,1.54,2.36,9.13,9.29,10.95,12.17,20.9,10.63,20.57,24.37,12.16,19.1
f_0,2.03,1.95,3.07,2.52,2.47,2.98,10.94,10.14,13.47,11.88,10.06,22.72,20.12,8.66,27.85,20.58
h_0,3.32,2.55,2.5,2.62,2.35,2.37,5.28,12.35,10.64,11.24,10.92,13.06,14.79,13.27,10.75,24.41
a_0,2.64,2.7,2.52,2.59,2.56,2.31,9.6,7.28,8.56,12.15,12.76,10.71,19.29,26.5,9.66,17.98
e_0,2.83,1.62,2.59,2.37,2.9,2.86,9.41,11.0,12.22,10.08,11.7,14.74,21.19,12.08,28.33,21.0
g_0,2.2,2.0,2.57,3.67,2.62,2.5,8.47,8.73,9.48,12.7,10.79,17.46,18.94,11.82,14.18,12.95
