,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.18,8.11,14.16,16.28,12.51,15.07,3.9,3.43,2.56,2.59,3.75,2.44,1.37,2.71,,1.79
f_1,11.92,0.18,13.17,11.86,13.4,10.02,2.92,3.7,2.64,3.0,,2.88,1.24,2.9,2.02,1.94
d_1,18.72,11.67,0.16,12.57,21.37,11.98,3.16,2.26,,2.61,3.04,2.68,1.97,1.91,3.5,0.94
c_1,15.74,13.21,15.96,0.14,14.44,9.85,2.78,5.97,1.39,,2.16,2.7,1.48,3.22,4.3,1.69
b_1,10.94,12.99,12.02,7.37,0.13,13.13,3.55,4.89,2.08,2.56,4.72,,2.06,3.19,2.44,2.14
a_1,12.45,16.5,13.98,14.16,8.08,0.09,3.37,,2.65,2.43,,2.41,,,,2.22
h_1,3.51,3.2,3.24,4.44,2.86,3.74,0.07,1.11,0.63,0.77,0.56,0.8,,0.7,0.47,0.36
g_1,3.43,3.26,3.11,4.48,3.32,,0.61,0.06,0.83,0.6,1.0,0.74,0.41,0.65,0.71,
d_0,1.18,3.12,,2.97,2.49,2.65,0.67,0.91,0.09,0.74,0.45,0.44,0.3,0.6,0.55,0.42
c_0,3.37,3.0,1.29,,2.0,2.11,0.64,0.91,0.49,0.08,0.56,0.58,0.41,0.92,0.48,0.43
f_0,2.57,,3.16,2.3,2.64,,0.88,0.34,0.47,0.48,0.07,0.56,0.33,0.52,0.69,0.4
b_0,3.05,2.61,2.88,3.21,,2.73,1.11,0.58,0.6,0.28,0.37,0.07,0.34,0.52,0.57,0.44
h_0,1.82,1.57,1.48,1.52,1.59,,,0.49,0.3,0.34,0.35,0.33,,0.26,0.34,0.23
a_0,2.5,3.19,3.18,1.98,3.41,,1.18,0.88,0.6,0.58,0.45,0.31,0.43,0.05,0.38,0.28
e_0,,2.66,3.28,2.36,2.92,,0.61,0.57,0.62,0.78,0.23,0.47,0.56,0.36,0.05,0.37
g_0,3.47,1.47,1.88,1.46,1.94,1.4,0.34,,0.42,0.32,0.28,0.42,0.2,0.43,0.31,
