,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.05,1.89,1.45,1.81,1.64,1.34,0.53,0.52,0.58,0.73,0.55,0.54,0.42,0.31,0.37,0.39
e_1,1.16,1.05,1.82,1.98,1.8,1.69,0.66,0.56,0.66,0.73,0.54,0.66,0.47,0.4,0.64,0.4
d_1,2.23,2.0,1.05,1.79,1.73,1.45,0.74,0.58,0.68,0.47,0.53,0.53,0.46,0.41,0.55,0.29
c_1,2.07,1.6,2.19,1.05,2.09,1.54,0.7,0.69,0.37,0.64,0.5,0.54,0.49,0.42,0.46,0.37
b_1,2.1,2.02,2.15,1.26,1.06,2.28,0.85,0.77,0.58,0.81,0.9,0.55,0.58,0.53,0.5,0.52
a_1,2.85,2.72,2.87,2.78,1.44,1.06,1.19,0.8,0.89,0.96,0.89,0.76,0.92,0.57,0.74,0.56
h_1,5.07,4.66,4.35,4.72,4.77,3.83,1.26,1.49,1.62,1.65,1.45,1.32,1.21,1.4,1.13,1.04
c_0,5.67,6.05,3.59,6.63,5.38,4.81,2.07,1.35,2.22,1.99,1.96,1.56,1.63,1.23,1.37,1.13
d_0,5.14,3.61,7.22,6.72,6.44,4.76,2.09,1.71,1.38,2.33,1.66,1.69,1.54,1.24,1.45,1.38
g_1,5.56,5.28,6.29,5.99,5.19,4.44,1.82,1.66,1.75,1.28,1.52,1.73,1.41,1.02,1.35,1.41
b_0,5.32,5.82,5.01,7.85,6.35,4.64,1.97,1.21,2.2,2.14,1.4,1.82,1.67,1.33,1.33,1.28
f_0,8.72,5.88,5.99,6.43,6.37,5.54,2.51,2.05,2.06,1.6,1.8,1.39,1.9,1.45,2.02,1.05
a_0,8.41,7.89,7.09,7.46,8.65,7.24,2.74,2.01,2.64,2.77,1.62,2.5,1.53,1.94,2.16,1.79
h_0,9.35,7.87,8.01,8.39,7.24,7.13,3.31,2.41,2.74,3.24,2.46,2.3,1.96,2.19,1.86,1.86
e_0,12.75,9.86,7.1,8.26,7.56,7.07,3.33,2.6,3.05,2.81,2.9,1.42,2.42,1.8,1.51,1.58
g_0,10.76,9.05,9.28,11.42,7.84,7.56,3.06,2.69,3.02,3.6,2.67,2.6,2.29,1.7,2.29,2.34
