,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.48,0.98,1.31,1.72,2.86,17.23,30.27,27.46,34.58,38.06,55.1,71.84,103.09,112.16,89.95
e_1,0.67,1.0,1.02,1.52,1.47,3.31,20.71,24.39,27.66,45.05,38.89,50.27,79.28,87.89,110.64,118.36
d_1,1.02,0.99,1.0,1.12,1.38,3.02,17.33,22.57,36.28,35.73,41.01,42.22,70.49,78.94,83.85,99.8
c_1,0.76,0.66,0.89,1.0,1.51,2.1,13.59,16.37,16.26,16.88,23.41,32.44,47.82,58.48,77.18,67.74
b_1,0.59,0.68,0.72,0.66,1.0,2.96,14.99,17.45,20.24,20.28,26.83,27.21,53.25,47.43,68.45,69.26
a_1,0.35,0.3,0.34,0.47,0.34,1.0,6.24,8.63,6.95,10.77,13.87,13.58,27.03,31.04,29.08,36.84
h_1,0.06,0.05,0.06,0.07,0.07,0.15,1.0,1.59,1.49,1.7,2.1,2.05,3.83,4.31,6.38,5.53
g_1,0.03,0.04,0.05,0.06,0.06,0.11,0.62,1.0,1.03,1.02,1.42,2.2,2.39,3.14,3.74,3.87
c_0,0.04,0.04,0.03,0.06,0.05,0.13,0.67,0.98,1.0,1.36,1.96,1.8,2.69,3.66,3.76,4.01
d_0,0.03,0.02,0.03,0.06,0.05,0.09,0.57,0.92,0.7,1.0,1.17,1.31,2.11,2.87,3.15,3.3
b_0,0.03,0.03,0.02,0.04,0.04,0.07,0.5,0.69,0.53,0.83,1.0,1.13,1.97,3.26,2.75,3.06
f_0,0.02,0.02,0.02,0.03,0.03,0.08,0.5,0.47,0.57,0.74,0.89,1.0,1.61,1.94,1.95,3.27
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.27,0.41,0.36,0.46,0.5,0.64,1.0,1.21,1.62,1.12
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.33,0.28,0.36,0.33,0.51,0.8,1.0,1.19,1.13
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.27,0.26,0.32,0.36,0.52,0.6,0.83,1.0,1.24
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.25,0.25,0.29,0.33,0.29,0.92,0.96,0.81,1.0
