,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.1,2.7,2.59,2.99,3.26,2.48,0.64,1.07,0.61,0.66,0.59,0.9,0.32,0.63,0.46,0.56
e_1,1.77,1.1,3.32,3.73,3.11,3.1,1.14,0.98,0.67,0.68,0.73,0.87,0.48,0.67,0.54,1.3
d_1,3.23,3.46,1.1,3.09,3.04,2.77,0.74,0.57,0.66,0.96,0.64,0.65,0.41,0.53,0.3,0.58
c_1,3.73,2.73,4.54,1.1,3.48,3.06,1.01,0.99,1.12,0.39,0.73,0.64,0.55,0.7,0.54,0.6
b_1,4.13,3.97,4.0,2.23,1.12,3.71,1.29,1.14,1.02,0.77,1.12,0.78,0.57,0.76,0.59,0.76
a_1,7.22,5.56,4.92,5.93,2.91,1.14,1.63,1.75,0.98,1.26,1.32,0.92,0.84,1.88,0.71,1.16
h_1,13.18,11.2,11.41,12.54,10.69,10.25,1.62,3.46,2.33,2.43,2.46,2.05,2.13,2.23,1.48,2.13
g_1,16.4,14.89,12.0,14.84,14.6,12.53,2.74,1.65,2.61,2.4,2.54,2.74,1.38,2.48,2.09,2.27
c_0,17.66,14.64,7.77,25.93,15.22,15.22,4.07,3.6,1.9,4.13,2.99,2.78,2.1,3.13,1.92,2.74
d_0,15.25,8.75,21.61,17.34,16.16,15.11,4.52,5.57,3.37,2.08,3.5,3.01,2.44,3.75,2.65,3.38
b_0,20.62,15.42,12.47,24.11,25.01,13.84,4.17,3.88,1.97,3.63,2.0,2.91,2.45,3.06,2.19,3.28
f_0,25.81,17.87,17.4,17.14,18.2,14.55,5.24,3.34,3.37,4.08,3.44,2.04,2.44,3.13,1.68,3.19
h_0,23.36,21.91,21.48,24.89,19.3,19.03,8.1,6.5,4.25,5.74,4.36,4.64,4.81,4.03,3.18,4.24
a_0,23.21,23.7,25.03,30.55,30.27,30.92,6.6,6.95,4.36,5.69,2.69,4.9,2.9,2.26,3.39,4.41
g_0,31.02,26.8,25.58,28.84,26.39,25.37,5.53,9.24,4.9,5.74,4.88,4.99,2.9,4.68,5.19,5.12
e_0,38.85,37.06,25.39,25.93,26.88,19.59,6.1,7.09,5.59,4.66,5.24,2.48,4.93,5.26,2.87,2.29
