,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.65,0.69,0.9,1.05,1.0,0.93,0.45,0.45,0.37,0.42,0.33,0.39,0.3,0.34,0.3,0.33
f_1,1.0,0.64,0.92,0.97,0.97,0.81,0.36,0.39,0.35,0.43,0.34,0.36,0.23,0.32,0.31,0.29
d_1,1.07,0.98,0.64,1.01,0.87,0.85,0.38,0.39,0.39,0.32,0.37,0.33,0.27,0.32,0.19,0.28
c_1,0.82,1.03,1.1,0.63,1.08,0.83,0.45,0.26,0.41,0.42,0.37,0.35,0.31,0.33,0.29,0.35
b_1,1.03,1.11,1.12,0.72,0.62,1.08,0.5,0.35,0.43,0.5,0.45,0.36,0.31,0.37,0.28,0.35
a_1,1.18,1.45,1.19,1.14,0.74,0.57,0.69,0.5,0.46,0.62,0.55,0.41,0.38,0.52,0.4,0.4
h_1,1.57,1.71,1.53,1.62,1.46,1.13,0.53,0.62,0.54,0.69,0.54,0.49,0.5,0.51,0.48,0.43
d_0,1.22,1.55,2.14,1.89,1.78,1.37,0.8,0.56,0.61,0.73,0.63,0.6,0.51,0.58,0.54,0.66
c_0,1.72,1.76,1.26,1.98,1.62,1.41,0.78,0.87,0.55,0.73,0.7,0.62,0.48,0.67,0.45,0.54
g_1,1.62,1.62,1.9,1.73,1.64,1.44,0.63,0.61,0.6,0.52,0.56,0.67,0.38,0.51,0.52,0.51
b_0,1.85,1.73,1.48,2.2,1.96,1.41,0.79,0.71,0.45,0.73,0.53,0.62,0.57,0.73,0.48,0.6
f_0,1.95,2.34,1.87,1.91,1.85,1.51,0.93,0.73,0.69,0.61,0.69,0.53,0.51,0.7,0.43,0.72
h_0,2.01,2.25,2.1,1.87,2.07,1.59,1.12,0.79,0.8,1.09,0.7,0.73,0.66,0.63,0.6,0.66
a_0,2.2,2.3,1.95,2.21,2.15,1.74,0.91,0.83,0.6,0.86,0.49,0.64,0.61,0.5,0.55,0.6
g_0,2.24,2.14,2.33,2.0,2.07,1.78,0.81,0.84,0.81,1.03,0.82,0.82,0.56,0.68,0.71,0.66
e_0,2.52,2.59,2.37,1.96,2.11,1.77,1.04,0.71,0.77,0.84,0.85,0.49,0.64,0.74,0.63,0.52
