,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.89,1.21,1.74,2.52,4.01,18.08,41.78,39.1,36.73,49.61,51.11,90.11,94.69,117.24,124.4
f_1,1.15,1.0,1.17,1.48,2.37,3.81,15.32,31.21,38.72,38.26,43.74,41.46,75.84,79.44,102.49,88.15
d_1,0.83,0.86,1.0,1.01,1.75,2.95,13.56,23.9,21.47,40.33,40.07,35.9,63.33,73.09,71.35,86.95
c_1,0.57,0.66,0.99,1.0,2.27,2.75,12.92,14.98,23.67,23.14,26.78,30.42,47.26,57.15,63.31,79.59
b_1,0.38,0.43,0.55,0.45,1.0,2.44,7.74,11.18,15.53,18.29,19.42,21.14,29.83,42.06,45.58,46.65
a_1,0.25,0.26,0.33,0.37,0.42,1.0,5.14,7.71,9.74,10.68,15.54,13.17,21.79,21.45,29.74,28.04
h_1,0.05,0.06,0.07,0.08,0.13,0.2,1.0,1.62,2.09,2.14,2.39,2.67,4.29,4.77,6.6,6.77
d_0,0.02,0.03,0.04,0.07,0.09,0.13,0.63,1.0,1.19,1.03,1.49,1.49,2.62,2.69,3.45,3.97
g_1,0.03,0.03,0.04,0.04,0.06,0.1,0.48,0.82,1.0,1.18,1.4,1.76,2.31,2.09,3.16,3.54
c_0,0.03,0.03,0.03,0.04,0.06,0.09,0.47,0.96,0.86,1.0,1.61,1.3,2.36,2.45,3.09,2.81
b_0,0.02,0.02,0.03,0.04,0.05,0.06,0.39,0.72,0.72,0.6,1.0,1.04,2.42,1.92,2.15,2.49
f_0,0.02,0.02,0.03,0.03,0.05,0.08,0.36,0.66,0.58,0.77,0.95,1.0,1.7,2.0,1.98,3.5
a_0,0.01,0.01,0.02,0.02,0.03,0.04,0.23,0.39,0.42,0.42,0.43,0.57,1.0,1.06,1.24,1.59
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.21,0.37,0.49,0.4,0.51,0.5,0.93,1.0,1.35,1.23
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.28,0.31,0.33,0.44,0.5,0.86,0.72,1.0,1.14
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.15,0.26,0.28,0.34,0.38,0.3,0.67,0.79,0.83,1.0
