,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.08,1.15,0.57,0.6,0.41,0.46,0.55,0.86,0.83,0.54,0.86,0.32,0.96,0.91,0.51,0.75
e_1,0.61,16.91,0.45,0.65,0.48,0.45,0.94,1.88,0.73,0.86,0.92,0.91,0.9,1.13,0.43,0.95
d_1,0.66,0.41,19.91,0.48,0.5,0.55,0.81,0.31,2.27,0.93,1.24,1.08,1.04,0.92,1.13,0.92
c_1,0.57,0.5,0.43,20.17,1.16,0.41,0.85,0.77,0.35,0.79,0.6,0.89,0.82,0.82,1.1,0.8
b_1,0.43,0.4,0.55,0.5,20.54,1.46,0.94,0.93,0.76,1.03,0.4,0.92,0.99,0.73,0.82,0.85
a_1,0.51,0.41,0.64,0.43,0.61,29.45,1.19,0.95,0.95,0.98,1.1,1.15,1.06,0.37,1.14,1.36
h_1,1.05,0.59,0.84,0.62,0.54,0.45,6.3,1.08,1.21,1.6,1.18,1.05,0.61,1.15,1.3,1.8
d_0,0.7,0.75,0.37,1.69,0.68,0.54,1.43,3.31,0.54,1.02,1.04,1.22,1.35,1.12,1.17,1.19
c_0,0.89,0.73,0.75,0.34,0.53,0.77,1.25,1.19,3.43,1.06,3.09,1.15,1.31,1.43,1.37,1.46
g_1,0.42,0.6,1.45,0.7,0.56,0.55,1.05,1.06,0.9,7.83,1.18,2.26,1.41,1.3,1.42,0.82
b_0,0.93,0.9,0.74,0.78,0.23,0.53,1.01,1.05,1.18,1.29,4.32,1.39,1.21,3.3,1.68,1.43
f_0,0.37,0.49,0.94,0.76,0.76,0.61,1.25,1.06,1.33,1.24,1.48,4.79,1.49,1.39,3.78,1.29
h_0,1.02,0.75,0.78,0.62,0.67,0.69,0.63,1.22,1.3,1.6,1.24,1.21,0.54,0.96,1.11,1.81
a_0,0.69,0.59,0.98,0.9,0.55,0.24,1.19,1.11,1.38,1.29,1.71,1.6,1.45,5.2,0.92,1.68
e_0,0.7,0.31,0.93,0.89,0.84,0.7,1.49,0.9,1.55,1.17,1.38,1.22,1.86,1.08,6.38,1.23
g_0,0.54,0.63,1.42,0.62,0.69,0.62,1.2,1.0,1.07,0.72,1.15,2.57,1.07,1.4,1.41,0.8
