,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.8,1.27,0.94,0.88,0.8,0.7,0.65,0.89,0.77,0.69,0.63,0.55,0.62,0.57
d_1,1.16,1.0,0.93,0.92,1.01,0.83,0.71,0.5,0.86,0.67,0.63,0.57,0.6,0.56,0.57,0.47
f_1,1.26,1.07,1.0,0.89,0.9,0.75,0.63,0.75,0.58,0.65,0.49,0.58,0.46,0.58,0.42,0.63
c_1,0.79,1.1,1.12,1.0,1.38,0.75,0.68,0.84,0.6,0.48,0.67,0.49,0.62,0.55,0.59,0.59
b_1,1.08,0.99,1.1,0.73,1.0,1.34,0.78,0.72,0.64,0.64,0.64,0.58,0.72,0.59,0.72,0.62
a_1,1.14,1.19,1.36,1.34,0.74,1.0,0.85,0.86,0.74,0.88,0.74,1.09,0.65,0.77,0.68,0.67
h_1,1.22,1.4,1.61,1.48,1.36,1.21,1.0,1.02,0.85,0.81,0.86,0.91,1.01,0.74,0.76,0.96
g_1,1.46,1.94,1.28,1.24,1.36,1.3,1.0,1.0,1.01,0.94,1.03,0.96,0.66,0.83,0.87,0.86
c_0,1.49,1.16,1.69,1.52,1.64,1.4,1.15,0.96,1.0,1.24,0.94,1.36,0.9,1.08,0.92,0.95
d_0,1.09,1.5,1.54,2.15,1.52,1.07,1.24,1.05,0.81,1.0,0.91,1.03,0.95,0.96,0.88,0.93
f_0,1.35,1.52,2.02,1.4,1.6,1.31,1.24,0.95,1.03,1.09,1.0,1.0,1.03,0.91,1.49,0.77
b_0,1.42,1.76,1.75,2.01,1.55,1.04,1.12,1.06,0.72,0.94,0.9,1.0,1.13,1.37,0.91,0.82
h_0,1.51,1.74,2.23,1.7,1.34,1.54,1.01,1.5,1.12,1.08,0.97,0.94,1.0,1.06,0.89,1.16
a_0,1.89,1.58,1.8,1.75,1.79,1.31,1.33,1.21,0.96,1.07,1.13,0.76,1.07,1.0,1.05,1.07
e_0,1.55,1.74,2.42,1.58,1.51,1.42,1.28,1.13,1.05,1.06,0.67,1.08,1.18,0.98,1.0,0.98
g_0,1.62,2.12,1.59,1.69,1.62,1.64,1.05,1.14,1.04,1.07,1.24,1.17,0.87,0.93,1.09,1.0
