,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.65,0.96,1.19,1.07,1.01,0.92,0.41,0.52,0.43,0.38,0.47,0.36,0.25,0.36,0.36,0.34
d_1,1.28,0.65,1.23,1.04,1.07,0.83,0.49,0.35,0.46,0.43,0.36,0.37,0.3,0.23,0.34,0.31
e_1,0.74,1.05,0.65,1.24,1.1,1.1,0.54,0.53,0.52,0.43,0.48,0.46,0.35,0.33,0.41,0.61
c_1,1.1,1.38,0.95,0.64,1.25,0.85,0.45,0.46,0.26,0.43,0.41,0.32,0.35,0.33,0.37,0.35
b_1,1.28,1.19,1.14,0.73,0.62,1.49,0.58,0.54,0.42,0.48,0.41,0.54,0.33,0.37,0.37,0.38
a_1,1.56,1.61,1.24,1.64,0.76,0.57,0.65,0.61,0.59,0.47,0.5,0.56,0.43,0.41,0.58,0.48
h_1,1.89,1.77,1.63,1.79,1.55,1.53,0.55,0.86,0.62,0.59,0.58,0.6,0.63,0.51,0.49,0.54
g_1,1.99,1.98,1.83,2.06,1.82,1.54,0.7,0.53,0.69,0.66,0.67,0.76,0.45,0.53,0.59,0.6
d_0,1.86,2.39,1.28,2.28,2.06,1.72,0.88,1.01,0.57,0.61,0.72,0.64,0.59,0.58,0.65,0.68
c_0,2.34,1.35,1.98,2.84,1.95,1.78,0.99,0.84,1.03,0.56,0.69,0.83,0.6,0.57,0.7,0.7
f_0,2.48,1.93,1.94,2.15,1.85,1.68,0.92,0.7,0.91,0.67,0.55,0.71,0.58,0.41,0.64,0.76
b_0,2.38,1.84,1.84,2.49,2.44,1.65,0.93,0.83,0.79,0.47,0.71,0.56,0.64,0.56,0.84,0.64
h_0,2.51,2.09,2.07,2.2,2.3,1.91,1.26,1.02,0.87,0.75,0.76,0.7,0.78,0.73,0.69,0.66
g_0,2.27,2.53,2.31,2.48,2.06,2.06,0.88,1.23,0.82,0.84,0.95,0.81,0.56,0.77,0.75,0.72
a_0,2.2,2.46,2.28,2.64,2.88,2.84,1.14,1.16,0.81,0.73,0.86,0.51,0.75,0.66,0.53,0.72
e_0,3.32,2.31,2.33,2.43,2.27,1.98,1.03,0.95,0.93,0.72,0.56,0.86,0.79,0.65,0.94,0.53
