,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.67,7.12,6.47,5.14,4.68,4.96,1.76,2.75,2.46,1.94,,2.18,1.22,1.72,1.57,1.78
e_1,3.58,0.67,6.41,5.32,5.18,5.48,2.71,2.45,2.6,1.81,2.72,2.24,1.79,1.72,,1.42
d_1,5.31,5.7,0.67,6.07,5.43,6.38,2.77,2.05,,2.67,2.21,1.64,1.56,1.92,1.85,1.0
c_1,6.82,6.08,5.53,0.64,7.63,6.07,2.57,2.69,1.31,,2.37,2.19,1.92,1.93,1.79,1.76
b_1,7.48,6.42,6.94,3.94,0.62,6.97,2.96,2.58,2.35,2.41,2.01,,2.07,2.19,2.15,
a_1,7.01,9.88,8.83,7.83,4.46,0.57,3.71,2.28,1.84,2.86,3.15,3.2,2.49,,,1.99
h_1,5.62,5.51,4.71,5.13,4.74,3.63,0.61,2.36,1.9,1.81,1.69,1.8,,2.07,1.36,1.25
g_1,5.1,5.47,5.27,5.31,5.6,5.66,1.8,0.59,1.7,2.63,2.14,1.85,1.14,2.22,2.31,
d_0,4.85,2.82,,5.84,3.53,7.56,2.06,2.9,0.71,1.97,2.17,1.49,1.1,1.58,1.4,1.84
c_0,4.86,4.84,3.11,,5.76,4.96,2.32,2.22,1.79,0.69,1.46,2.59,1.32,2.15,1.84,1.09
f_0,,4.93,4.24,3.9,5.93,4.65,2.06,1.87,1.49,2.04,0.68,2.07,1.66,1.98,2.17,1.41
b_0,4.78,5.83,6.05,5.71,,4.76,2.53,2.25,2.09,0.97,2.12,0.66,1.6,,1.74,1.36
h_0,5.26,4.51,4.64,4.75,3.84,3.17,,2.47,2.01,2.16,1.33,1.53,,1.23,1.22,1.7
a_0,6.88,6.82,6.07,5.69,7.17,,3.02,1.9,2.06,1.55,2.37,,2.61,0.61,2.2,
e_0,7.58,,5.62,6.96,6.48,,2.42,2.18,2.83,1.91,1.17,2.81,2.22,1.88,0.62,
g_0,6.0,6.41,6.15,5.71,,4.37,2.27,,1.73,2.21,1.52,1.76,0.92,,,
