,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.43,4.27,3.15,4.09,3.47,3.69,1.3,1.43,1.67,1.6,,1.72,1.02,2.09,1.35,1.84
e_1,2.14,0.42,4.02,3.24,3.54,3.91,2.35,1.9,2.56,1.46,1.53,1.48,1.53,,2.09,1.22
c_1,4.17,3.42,0.39,3.35,4.14,2.87,1.65,1.24,2.45,,1.61,1.24,1.3,,1.66,1.59
d_1,3.38,4.48,4.22,0.39,3.05,3.8,2.33,,1.26,1.58,1.78,1.84,1.26,1.33,1.71,0.88
b_1,3.69,4.06,2.32,4.25,0.36,4.19,1.75,1.58,2.06,1.74,1.52,,1.2,,1.89,1.08
a_1,3.29,3.44,3.29,3.61,2.37,0.31,2.23,1.95,1.88,,1.64,,1.49,1.31,,1.37
h_1,2.02,2.01,1.74,1.47,1.96,1.76,0.26,0.77,1.15,0.89,0.71,0.76,,0.7,0.82,0.6
d_0,1.58,1.01,1.76,,1.53,1.27,0.93,0.29,0.85,0.95,0.82,0.7,0.63,0.52,0.71,0.85
g_1,2.12,1.55,1.81,1.91,2.06,2.02,0.69,0.92,0.23,0.78,1.05,0.69,0.5,,0.94,
c_0,1.8,1.66,,1.1,1.82,,0.65,0.63,1.12,0.28,0.71,0.79,0.58,0.64,0.64,0.5
f_0,,1.85,1.61,1.31,1.9,1.86,1.21,0.6,0.53,0.57,0.27,0.73,0.67,0.96,,0.45
b_0,1.61,1.61,1.96,2.05,,,0.92,0.89,0.89,0.44,0.7,0.26,0.5,0.54,0.78,0.61
h_0,1.48,1.06,1.23,1.53,1.17,1.18,,0.54,0.88,0.62,0.48,0.54,,0.56,0.58,0.51
e_0,1.49,,,1.7,,1.5,1.03,1.04,,0.7,0.41,0.88,0.67,0.21,,0.56
a_0,1.98,1.43,1.66,1.45,1.52,,0.73,0.71,0.75,0.67,,0.5,0.75,,0.21,
g_0,1.19,1.87,1.01,1.55,1.36,1.28,0.64,0.49,,0.78,0.58,0.61,0.46,0.5,,
