,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,5.71,0.06,0.09,0.06,0.07,,0.33,0.3,0.64,,0.39,0.4,0.62,0.41,0.42,0.65
e_1,0.06,5.83,0.07,0.09,0.06,0.09,0.25,0.28,0.3,0.75,0.44,0.25,0.63,0.47,,0.5
f_1,0.08,0.14,5.92,0.1,0.08,0.08,0.25,0.22,0.36,0.35,0.42,,0.62,0.36,0.34,0.33
c_1,0.09,0.1,0.07,6.94,0.14,0.06,0.33,0.28,,0.41,0.31,0.45,0.56,,,0.72
b_1,0.07,0.08,0.07,0.07,7.83,0.13,0.37,0.31,0.38,0.39,,0.32,0.34,0.3,0.51,0.65
a_1,0.07,0.08,0.08,0.06,,10.8,0.24,0.34,0.25,0.48,0.29,0.55,0.7,,0.4,0.59
h_1,0.28,0.22,0.35,0.26,0.37,0.33,13.7,1.48,1.18,1.57,1.23,1.21,,1.19,1.49,3.19
g_1,0.42,0.24,0.15,0.35,0.32,0.23,0.86,17.05,1.57,1.08,1.47,2.23,2.07,1.15,1.77,
c_0,0.4,0.39,0.42,,0.29,0.38,1.22,1.17,10.77,1.97,4.3,2.01,3.54,1.74,1.62,2.55
d_0,,0.3,0.41,0.75,0.46,0.42,1.52,1.41,1.7,12.31,1.97,1.75,2.76,1.56,2.54,2.42
b_0,0.34,0.47,0.38,0.28,,0.23,1.64,1.25,2.29,1.4,13.29,1.27,3.08,4.14,1.28,3.7
f_0,0.44,0.29,,0.31,0.34,0.51,1.74,1.2,1.95,1.89,1.83,13.71,3.37,2.35,3.87,2.13
h_0,0.48,0.63,0.83,0.58,0.78,0.32,,3.19,3.22,3.03,1.68,2.18,,2.84,2.49,4.9
a_0,0.3,0.32,0.4,0.42,0.28,,1.85,1.31,2.99,1.38,1.64,2.25,3.78,18.26,,2.29
e_0,0.46,,0.37,0.38,0.29,,1.49,1.18,1.96,2.54,1.48,2.3,3.18,1.71,20.05,2.82
g_0,0.98,0.44,0.54,0.44,0.5,0.76,2.17,,3.28,2.32,1.8,5.16,2.97,2.6,2.04,
