,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.02,1.11,0.81,0.89,0.68,0.4,0.4,0.39,0.46,0.4,0.32,0.29,0.28,0.26,0.32
c_1,0.98,1.0,0.83,1.33,1.18,0.72,0.41,0.34,0.33,0.43,0.27,0.31,0.31,0.33,0.29,0.33
e_1,0.9,1.23,1.0,0.98,0.79,0.74,0.56,0.64,0.43,0.44,0.42,0.42,0.31,0.39,0.28,0.36
b_1,1.24,0.75,1.01,1.0,1.01,1.12,0.56,0.44,0.5,0.53,0.4,0.4,0.33,0.34,0.36,0.32
d_1,1.13,0.84,1.26,0.99,1.0,0.76,0.48,0.53,0.62,0.36,0.45,0.47,0.43,0.41,0.34,0.27
a_1,1.47,1.38,1.34,0.9,1.3,1.0,0.71,0.57,0.51,0.59,0.59,0.5,0.53,0.42,0.45,0.44
h_1,2.57,2.41,1.77,1.79,2.07,1.4,1.0,0.93,0.88,1.21,0.84,0.74,0.7,0.83,0.58,0.7
d_0,2.47,3.0,1.59,2.31,2.02,1.75,1.07,1.0,0.79,0.95,0.67,0.76,0.7,0.71,0.78,0.66
c_0,2.52,2.86,2.25,1.95,1.67,1.83,1.19,1.28,1.0,0.99,1.24,0.87,0.95,0.84,0.78,0.75
g_1,2.12,2.34,2.27,1.86,2.83,1.61,0.84,1.0,1.02,1.0,0.9,1.05,0.83,0.7,0.7,0.8
b_0,2.44,3.57,2.41,2.33,2.23,1.75,1.14,1.46,0.82,1.11,1.0,0.87,1.25,0.87,0.8,0.94
f_0,3.31,3.27,2.53,2.34,2.14,2.08,1.39,1.3,1.09,0.89,1.12,1.0,0.85,1.0,1.12,0.65
a_0,3.49,3.4,2.95,3.1,2.43,2.04,1.46,1.41,1.06,1.3,0.78,1.15,1.0,1.19,0.92,0.86
h_0,3.54,3.09,2.63,2.93,2.55,2.35,1.24,1.37,1.19,1.42,1.16,0.99,0.9,1.0,1.0,0.93
e_0,3.92,2.97,3.76,2.76,2.97,2.22,1.84,1.29,1.27,1.35,1.13,0.89,1.04,1.02,1.0,0.96
g_0,2.94,3.1,2.79,2.97,3.72,2.44,1.48,1.47,1.3,1.23,1.02,1.54,1.11,1.09,1.07,1.0
