,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.84,0.93,0.81,0.61,0.44,0.47,0.38,0.42,0.38,0.33,0.3,0.33,0.25,0.3
e_1,0.85,1.0,0.99,1.08,0.91,0.73,0.53,0.5,0.41,0.59,0.41,0.43,0.36,0.36,0.32,0.32
d_1,1.17,1.03,1.0,0.91,0.84,0.66,0.49,0.37,0.54,0.4,0.46,0.37,0.33,0.33,0.33,0.25
c_1,1.09,0.92,1.09,1.0,1.29,0.77,0.53,0.47,0.41,0.32,0.36,0.43,0.37,0.34,0.34,0.33
b_1,1.21,1.11,1.2,0.81,1.0,1.11,0.58,0.5,0.52,0.43,0.43,0.45,0.37,0.34,0.36,0.33
a_1,1.61,1.35,1.48,1.29,0.9,1.0,0.74,0.61,0.59,0.59,0.64,0.54,0.5,0.51,0.53,0.46
h_1,2.33,1.94,2.04,1.85,1.7,1.37,1.0,0.97,0.77,0.8,0.75,0.8,0.74,0.72,0.6,0.71
g_1,2.23,2.13,2.7,2.11,1.87,1.6,1.05,1.0,1.02,0.9,0.87,0.99,0.71,0.74,0.79,0.79
c_0,2.59,2.41,1.92,2.37,1.92,1.62,1.31,0.99,1.0,1.23,1.29,0.91,0.82,0.93,0.83,0.78
d_0,2.21,1.73,2.6,3.15,2.33,1.77,1.24,1.14,0.8,1.0,0.85,0.94,0.84,0.8,0.83,0.76
b_0,2.57,2.44,2.15,2.86,2.3,1.61,1.37,1.17,0.78,1.13,1.0,0.9,0.93,1.18,0.88,0.79
f_0,2.95,2.39,2.71,2.34,2.21,1.84,1.3,1.0,1.03,1.08,1.08,1.0,0.9,0.86,1.09,0.67
h_0,3.35,2.82,2.97,2.71,2.65,1.94,1.4,1.39,1.22,1.17,1.05,1.08,1.0,0.89,0.87,0.99
a_0,2.97,2.82,2.97,2.95,2.88,1.85,1.39,1.34,1.06,1.24,0.84,1.16,1.11,1.0,0.95,0.91
e_0,4.08,3.31,3.18,2.78,2.66,1.74,1.63,1.22,1.3,1.21,1.2,0.95,1.19,1.09,1.0,0.87
g_0,3.26,3.05,3.84,3.09,3.05,2.18,1.4,1.24,1.35,1.23,1.21,1.43,1.02,1.11,1.12,1.0
