,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.23,0.9,0.98,0.92,0.7,0.57,0.67,0.68,0.61,0.58,0.57,0.53,0.59,0.58,0.48
e_1,0.81,1.0,0.95,1.1,0.96,0.82,0.7,0.99,0.69,0.61,0.66,0.77,0.63,0.52,0.67,0.68
d_1,1.12,1.04,1.0,0.85,0.99,0.8,0.66,0.68,0.53,0.91,0.62,0.6,0.55,0.61,0.46,0.58
c_1,1.02,0.91,1.18,1.0,1.27,0.77,0.66,0.44,0.71,0.51,0.54,0.64,0.6,0.58,0.51,0.49
b_1,1.1,1.04,1.01,0.79,1.0,1.48,0.81,0.68,0.69,0.72,0.65,0.62,0.55,0.5,0.65,0.55
a_1,1.44,1.21,1.23,1.27,0.67,1.0,1.18,0.77,1.01,0.68,0.97,0.68,0.84,0.7,0.63,0.65
h_1,1.72,1.4,1.51,1.49,1.19,0.9,1.0,0.8,1.14,0.87,0.91,0.81,0.87,0.7,0.91,0.76
d_0,1.46,0.99,1.38,2.3,1.55,1.32,1.23,1.0,0.97,0.82,1.04,0.91,0.85,0.79,0.97,0.97
g_1,1.57,1.44,1.82,1.38,1.4,1.08,0.89,0.99,1.0,1.06,0.97,1.21,0.87,0.93,0.85,0.8
c_0,1.62,1.67,1.14,1.78,1.35,1.42,1.19,1.1,0.96,1.0,1.41,1.02,1.02,0.98,0.92,0.94
b_0,1.6,1.55,1.56,1.96,1.5,1.13,1.13,1.02,1.06,0.75,1.0,0.87,1.02,1.26,0.81,0.89
f_0,1.83,1.27,1.66,1.59,1.62,1.44,1.22,1.06,0.83,0.96,1.16,1.0,1.04,1.06,0.69,1.31
h_0,1.99,1.6,1.76,1.63,1.76,1.21,1.12,1.13,1.15,0.99,1.02,0.94,1.0,0.94,1.13,0.78
a_0,1.65,1.86,1.73,1.79,2.06,1.48,1.49,1.24,1.08,0.96,0.8,1.1,1.01,1.0,1.14,0.91
g_0,1.69,1.5,2.18,1.89,1.59,1.5,1.12,1.11,1.17,1.07,1.16,1.46,0.83,0.87,1.0,0.95
e_0,2.12,1.47,1.63,2.1,1.78,1.67,1.27,1.07,1.24,1.1,1.23,0.78,1.25,1.09,0.98,1.0
