,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.51,1.36,0.83,0.84,0.74,0.62,0.9,1.02,0.87,0.96,0.77,0.95,1.01,0.7,0.7,1.01
e_1,0.88,1.52,1.11,0.8,0.8,0.74,1.05,1.63,0.97,1.01,1.11,0.98,1.23,0.81,0.94,0.92
c_1,1.01,0.74,1.57,0.94,1.36,0.76,0.93,0.83,0.93,0.65,0.95,0.75,1.09,0.77,0.82,1.1
d_1,0.95,0.99,0.73,1.58,0.79,0.76,1.09,0.9,0.93,1.73,1.17,1.18,1.15,0.94,0.85,0.97
b_1,1.03,0.93,0.82,0.89,1.63,1.32,1.05,1.17,1.01,1.0,0.97,0.75,1.23,0.89,0.88,1.13
a_1,1.12,0.97,1.09,1.02,0.75,1.75,1.13,1.23,0.97,1.08,1.02,1.08,1.28,0.98,0.86,1.11
h_1,1.49,1.13,1.28,1.08,0.97,0.8,1.84,1.16,1.47,1.21,1.17,1.32,1.13,0.94,1.01,1.51
d_0,1.24,0.99,1.8,0.96,1.11,0.93,1.44,1.71,1.18,1.14,1.44,1.31,1.38,1.0,1.03,1.61
g_1,1.21,1.1,1.05,1.57,1.01,0.86,1.21,1.21,1.9,1.21,1.81,1.31,1.36,1.25,1.31,1.16
c_0,1.29,1.33,1.08,1.05,1.0,0.91,1.45,1.44,1.52,1.77,1.42,2.33,1.57,1.4,1.43,1.42
f_0,1.11,0.96,1.25,1.22,1.23,1.13,1.52,1.44,1.14,1.51,1.83,1.39,1.52,2.16,1.16,1.39
b_0,1.38,1.3,1.44,1.18,0.95,0.84,1.43,1.3,1.41,1.07,1.28,1.83,1.52,1.21,1.92,1.54
h_0,1.61,1.2,1.19,1.19,1.1,1.0,1.32,1.43,1.5,1.29,1.28,1.4,1.39,1.25,1.17,1.65
e_0,1.33,1.1,1.41,1.26,1.32,1.01,1.71,1.64,1.41,1.38,1.3,1.57,1.77,1.91,1.45,1.69
a_0,1.63,1.24,1.36,1.27,1.19,0.74,1.46,1.5,1.26,1.29,1.46,1.23,1.79,1.25,1.9,1.58
g_0,0.99,1.28,1.25,1.69,1.22,1.09,1.36,1.17,1.2,1.55,1.94,1.51,1.51,1.36,1.12,1.38
