,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,14.74,13.46,11.04,11.37,12.35,2.24,1.84,4.28,2.51,4.3,,1.31,2.41,2.63,2.13
e_1,7.66,0.18,12.4,13.65,8.36,14.93,4.33,2.1,4.5,3.21,2.2,2.76,1.7,3.73,,2.25
d_1,15.38,11.08,0.16,12.82,13.16,10.1,2.85,,2.49,3.14,2.33,2.1,2.26,2.55,2.69,0.98
c_1,10.37,12.93,16.03,0.15,11.62,16.08,4.44,1.11,2.98,,3.24,2.83,2.33,2.41,3.44,1.63
b_1,13.94,12.67,14.68,8.58,0.13,,4.27,3.41,2.92,2.61,,1.53,1.56,,,1.05
a_1,25.72,11.06,9.74,11.19,,0.09,3.19,3.73,,4.01,3.45,3.01,1.25,,,1.91
h_1,2.72,3.27,3.4,3.21,3.28,5.02,0.07,0.76,1.52,0.51,0.56,0.74,,0.44,0.49,0.56
d_0,2.21,1.62,,2.05,2.61,2.15,0.74,0.09,0.75,0.72,0.59,0.45,0.29,0.55,0.35,0.44
g_1,2.75,3.34,3.78,5.58,3.04,,0.58,1.08,0.06,0.7,0.51,0.7,0.49,0.56,0.53,
c_0,2.86,2.21,1.34,,3.65,2.17,0.63,0.69,0.72,0.08,0.49,0.5,0.31,0.49,0.47,0.55
b_0,2.27,3.77,2.33,2.84,,2.76,0.85,0.59,0.5,0.29,0.07,0.48,0.28,0.55,0.55,0.29
f_0,,2.65,2.42,2.12,3.16,1.9,0.95,0.56,0.42,0.55,0.37,0.06,0.4,0.42,0.4,0.2
h_0,1.43,1.98,1.75,1.19,2.08,1.35,,0.33,0.51,0.25,0.28,0.36,,0.42,0.31,0.31
a_0,3.86,2.8,1.82,2.84,,,0.73,0.55,0.73,0.49,0.27,0.56,0.28,0.05,,0.27
e_0,3.4,,2.43,3.21,,,0.57,0.5,0.56,0.47,0.41,0.22,0.27,,0.05,
g_0,2.33,1.69,2.06,2.27,1.83,1.18,0.32,0.28,,0.27,0.47,0.38,0.24,0.31,,
