,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.89,1.22,0.96,0.92,0.65,0.43,0.36,0.42,0.43,0.37,0.38,0.33,0.32,0.29,0.33
d_1,1.12,1.0,0.92,0.87,0.85,0.75,0.56,0.39,0.57,0.53,0.38,0.43,0.33,0.34,0.3,0.3
e_1,0.82,1.09,1.0,0.98,0.9,0.68,0.52,0.51,0.46,0.59,0.38,0.41,0.36,0.29,0.37,0.27
c_1,1.04,1.15,1.03,1.0,1.18,0.99,0.5,0.45,0.43,0.33,0.34,0.4,0.34,0.33,0.35,0.35
b_1,1.08,1.18,1.11,0.85,1.0,1.22,0.57,0.49,0.44,0.46,0.48,0.38,0.42,0.32,0.34,0.38
a_1,1.54,1.34,1.48,1.01,0.82,1.0,0.71,0.61,0.51,0.51,0.71,0.45,0.45,0.49,0.43,0.29
h_1,2.4,1.83,1.92,2.02,1.71,1.46,1.0,1.0,0.89,0.78,0.79,0.72,0.61,0.59,0.71,0.63
g_1,2.75,2.61,1.85,2.25,2.03,1.58,0.99,1.0,0.88,0.71,0.83,0.95,0.72,0.76,0.6,0.63
c_0,2.59,1.77,2.09,2.23,2.24,2.02,1.17,1.13,1.0,1.03,1.31,0.97,0.84,0.8,0.7,0.76
d_0,2.35,1.96,1.63,3.04,2.19,2.0,1.32,1.47,0.89,1.0,1.03,0.98,0.86,0.75,0.79,0.95
b_0,2.66,2.58,2.48,3.29,2.25,1.58,1.29,1.12,0.72,0.96,1.0,0.93,0.95,1.37,0.89,0.85
f_0,2.43,2.43,2.35,2.54,2.61,2.4,1.37,1.03,1.04,1.01,1.03,1.0,0.93,0.76,0.77,1.19
h_0,3.12,2.91,2.67,2.96,2.4,2.25,1.56,1.42,1.14,1.21,1.03,1.03,1.0,0.85,1.18,0.87
a_0,3.47,3.02,3.16,3.18,2.93,1.87,1.55,1.34,1.23,1.47,0.76,1.28,1.22,1.0,1.1,0.88
g_0,3.42,3.35,2.72,3.03,2.75,2.23,1.39,1.59,1.39,1.34,1.13,1.31,0.86,0.92,1.0,0.96
e_0,3.05,3.24,4.06,2.81,2.4,3.15,1.7,1.66,1.27,1.08,1.19,0.87,1.19,1.26,1.04,1.0
