,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.03,1.16,0.93,1.0,0.91,0.88,0.96,0.97,1.05,0.99,0.78,0.91,0.86,0.83,1.07
c_1,0.99,1.0,0.83,1.35,1.2,0.94,0.86,0.76,0.79,1.05,0.74,0.9,0.9,0.98,0.98,1.01
e_1,0.85,1.2,1.0,1.04,0.87,0.89,1.14,1.42,0.97,1.03,1.04,1.18,0.95,1.11,0.97,1.13
b_1,1.08,0.75,0.96,1.0,1.04,1.42,1.14,0.86,1.1,1.13,1.0,1.01,0.96,1.0,1.06,0.99
d_1,0.98,0.84,1.15,0.96,1.0,0.97,0.99,1.05,1.29,0.77,1.16,1.16,1.18,1.07,1.02,0.86
a_1,1.07,1.06,1.14,0.7,1.04,1.0,1.12,1.09,0.98,1.11,1.18,1.04,1.0,1.03,1.08,1.08
h_1,1.11,1.14,0.9,0.92,0.99,0.85,1.0,0.94,0.94,1.22,0.95,0.91,0.95,1.09,0.89,1.08
d_0,1.06,1.34,0.73,1.09,0.93,0.85,1.05,1.0,0.8,1.01,0.82,0.95,0.91,1.03,1.2,0.98
c_0,1.04,1.27,1.02,0.92,0.76,0.99,1.11,1.31,1.0,0.99,1.35,1.04,1.31,1.13,1.14,0.97
g_1,0.94,0.99,0.94,0.92,1.28,0.87,0.78,0.91,1.03,1.0,0.98,1.19,0.97,0.88,0.99,1.04
b_0,1.02,1.33,0.95,0.98,0.89,0.86,1.06,1.19,0.76,0.99,1.0,0.97,1.47,1.03,1.0,1.0
f_0,1.25,1.12,0.94,0.98,0.84,0.95,1.08,1.05,0.95,0.79,1.02,1.0,1.09,1.06,1.32,0.8
a_0,1.13,1.09,1.01,1.08,0.88,1.04,1.07,1.09,0.79,1.12,0.71,0.93,1.0,1.12,0.98,0.94
h_0,1.14,1.02,0.91,1.0,1.0,0.93,0.92,0.96,0.87,1.09,0.97,0.9,0.95,1.0,0.99,1.05
e_0,1.23,1.0,0.99,0.91,0.99,0.94,1.15,0.86,0.94,0.99,1.0,0.72,1.03,1.01,1.0,0.92
g_0,0.95,0.98,0.89,0.96,1.16,1.01,0.96,1.03,1.0,0.98,0.98,1.23,1.05,0.94,1.11,1.0
