,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.25,0.49,0.44,0.36,0.46,0.33,1.09,1.97,0.91,0.58,1.22,1.03,1.38,0.97,1.37,1.11
f_1,0.46,2.31,0.93,0.4,0.32,0.34,0.94,0.89,0.65,1.15,1.0,0.33,1.19,0.75,0.95,0.66
e_1,0.51,0.53,2.33,0.52,0.46,0.37,0.79,0.89,0.63,1.81,0.98,0.96,1.27,0.79,1.01,0.29
c_1,0.54,0.45,0.45,2.54,0.83,0.3,0.61,0.35,0.7,0.96,0.58,0.83,1.21,0.67,1.04,0.9
b_1,0.56,0.47,0.44,0.38,2.63,0.75,0.87,0.99,0.7,0.84,0.5,1.09,1.23,0.66,1.14,0.8
a_1,0.53,0.65,0.45,0.49,0.34,3.08,0.86,0.98,0.85,0.88,1.23,1.01,1.35,0.35,1.29,0.58
h_1,0.6,0.81,0.57,0.68,0.38,0.36,2.97,1.19,1.58,1.02,1.04,1.19,0.93,1.13,1.74,0.94
c_0,0.67,0.6,0.57,0.45,0.45,0.44,1.23,2.54,1.19,1.2,2.37,1.14,1.57,1.42,1.66,1.14
g_1,0.96,0.56,0.48,0.59,0.43,0.37,1.03,1.14,3.21,0.83,1.0,1.75,1.5,0.87,1.12,1.08
d_0,0.32,0.64,0.62,1.18,0.57,0.38,1.03,0.92,0.93,2.54,1.22,1.08,1.55,0.81,1.1,0.77
b_0,0.59,0.75,0.57,0.67,0.3,0.45,1.15,1.22,1.08,1.13,2.69,1.33,1.63,2.16,1.45,1.07
f_0,0.76,0.4,0.45,0.69,0.56,0.39,1.05,1.39,1.28,1.25,1.13,2.79,1.61,1.44,1.51,2.33
h_0,0.72,0.91,0.6,0.61,0.52,0.34,0.74,1.18,1.24,1.24,1.09,1.13,0.93,1.07,1.85,1.04
a_0,0.77,0.66,0.6,0.6,0.46,0.2,1.55,1.26,1.01,1.16,1.2,1.13,1.92,3.04,1.75,1.16
g_0,1.09,0.52,0.5,0.62,0.45,0.38,1.07,1.34,0.88,1.07,1.16,1.96,1.44,1.07,0.98,1.23
e_0,0.62,0.82,0.3,0.56,0.56,0.48,1.47,1.36,1.41,1.42,1.12,1.17,1.57,1.09,1.23,2.93
