,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,100.71,51.19,46.11,108.98,121.35,269.87,9652.11,11110.32,25155.71,16811.06,36516.46,31000.38,99891.64,75715.62,143765.02,219132.62
d_1,45.27,112.61,64.1,63.81,113.22,272.44,9155.67,9463.15,9483.78,28288.44,29422.91,34548.64,87219.02,94661.54,136281.72,159141.44
f_1,72.74,47.09,121.13,76.91,87.57,226.95,7496.5,8351.41,15523.11,16915.51,11965.09,27071.23,58899.14,61480.64,104556.96,185808.2
c_1,32.21,47.72,48.12,159.41,177.37,226.92,7224.78,8261.44,11623.66,7111.12,23234.71,19742.9,76921.87,64451.05,94801.82,138869.24
b_1,30.53,38.73,50.73,45.92,216.13,393.46,7031.01,7981.7,12331.92,15545.49,21739.43,14510.6,70375.3,73066.07,56286.37,152360.83
a_1,24.97,32.17,38.3,51.68,47.48,457.44,5334.61,5568.52,7407.12,11142.34,15782.34,18460.08,47705.51,57585.96,43291.22,111810.24
h_1,10.53,13.13,18.1,18.87,29.62,65.09,3706.33,3091.58,3544.65,4543.42,6740.54,6234.49,17332.78,25518.99,29952.41,63726.34
g_1,9.65,16.66,12.61,18.92,25.7,67.18,1748.49,4020.24,3631.54,4208.05,9729.82,6887.18,17274.72,23791.76,25416.28,38929.33
d_0,8.54,9.39,11.07,27.57,23.8,68.44,1931.25,2023.68,4719.82,3237.62,5879.18,4695.59,18362.67,20982.96,21670.68,48277.75
c_0,10.02,10.81,12.85,12.79,18.77,53.74,1813.01,2119.42,2981.24,5524.63,5964.1,9206.79,18600.66,20081.13,28637.56,40472.35
f_0,6.61,10.8,8.9,15.2,20.66,46.78,1576.04,1550.79,3171.35,3216.77,7886.61,4705.75,17667.52,28176.07,19312.71,36729.69
b_0,7.29,9.42,11.18,15.2,11.88,43.76,1747.82,1602.51,3144.2,3034.63,5382.34,7862.26,16912.62,15088.84,38920.74,36866.09
h_0,4.8,7.21,10.85,9.92,13.84,38.69,743.77,1760.27,1978.41,2369.7,3568.03,3968.21,7575.62,11534.07,14108.2,28481.56
e_0,3.3,7.23,7.79,10.74,14.54,32.15,1049.32,1379.71,2150.52,2175.92,3105.68,3770.02,12127.81,19341.57,14978.12,23217.19
a_0,4.47,5.71,6.77,10.58,15.33,15.54,1050.85,1060.6,2084.67,1684.06,3622.97,2906.53,11450.19,10187.26,24034.75,20393.96
g_0,3.81,7.5,5.18,8.81,10.18,24.15,880.36,780.87,1488.96,1708.78,3871.61,2651.2,9541.06,10752.46,12116.62,13755.63
