,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.07,2.78,3.93,3.18,2.82,2.94,1.02,1.32,1.03,1.0,1.8,0.87,0.52,0.83,0.92,0.81
d_1,3.85,1.07,3.97,3.01,3.23,2.34,1.42,0.97,1.83,1.15,0.95,0.83,0.82,0.51,0.79,0.69
e_1,2.03,3.38,1.07,3.71,3.72,3.37,1.52,1.2,1.22,1.03,1.11,1.17,0.89,0.82,0.84,1.83
c_1,3.56,4.34,3.49,1.07,3.81,2.64,1.12,1.07,0.71,1.72,0.99,0.81,0.95,0.76,0.83,0.98
b_1,4.85,4.01,3.52,2.28,1.07,4.21,1.69,1.63,1.16,1.22,1.04,2.36,0.81,0.99,1.02,1.11
a_1,5.26,7.6,4.69,7.68,3.21,1.07,2.37,1.76,1.58,1.35,1.5,1.52,1.23,1.28,,1.19
h_1,8.17,7.11,6.36,7.42,6.16,5.75,1.37,3.42,1.94,1.92,1.89,2.29,2.85,1.76,1.51,1.89
g_1,10.02,8.41,8.57,9.99,8.33,6.82,2.38,1.38,2.37,2.27,2.37,2.73,1.41,2.36,2.08,1.79
d_0,8.43,13.67,5.36,10.55,9.67,7.67,3.62,3.71,1.63,2.45,2.49,2.18,2.2,1.79,2.37,2.35
c_0,11.59,5.98,8.95,21.89,8.64,8.44,3.69,3.24,3.42,1.63,2.78,3.5,2.23,2.05,3.18,2.37
f_0,20.53,8.9,9.47,11.02,9.59,6.9,3.67,2.9,4.01,2.28,1.61,2.58,2.0,1.56,2.24,2.89
b_0,11.26,9.0,8.79,12.75,17.91,8.1,3.42,3.5,3.2,1.77,2.79,1.69,2.69,1.99,3.24,2.21
h_0,14.43,10.97,9.92,11.77,12.9,10.42,7.81,4.96,4.14,3.03,3.87,3.13,4.72,3.26,2.97,2.73
g_0,13.17,14.23,11.83,13.59,11.8,12.35,3.8,10.75,4.16,3.9,4.08,4.19,2.5,4.99,3.12,3.0
a_0,12.53,13.53,15.45,13.43,14.69,,5.27,5.45,3.72,2.88,3.83,2.33,3.07,3.3,1.69,2.72
e_0,21.52,14.47,21.47,11.47,11.27,13.6,4.35,4.9,4.2,3.56,2.3,3.86,3.81,2.93,5.43,1.68
