,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.49,1.14,0.67,0.68,0.56,0.45,0.66,0.77,0.7,0.6,0.72,0.5,0.8,0.62,0.73,0.48
e_1,0.6,1.51,0.63,0.76,0.71,0.63,0.7,0.71,1.4,0.82,0.86,0.82,0.74,0.69,0.81,0.44
d_1,0.81,0.62,1.55,0.62,0.62,0.55,0.9,0.72,0.53,1.25,0.95,0.8,0.95,0.69,0.68,0.7
c_1,0.75,0.69,0.64,1.56,1.02,0.54,0.84,0.67,0.64,0.51,0.57,0.84,0.82,0.79,0.7,0.61
b_1,0.77,0.7,0.64,0.65,1.61,1.0,0.89,0.69,0.82,0.8,0.44,0.66,1.01,0.51,0.92,0.71
a_1,0.93,0.66,0.85,0.69,0.59,1.74,0.93,0.85,0.86,0.87,0.91,0.86,1.17,0.59,0.78,0.7
h_1,1.29,0.91,0.93,0.82,0.71,0.57,1.72,1.21,1.06,1.12,1.0,0.85,0.85,0.86,1.44,0.88
g_1,0.87,0.9,1.28,0.98,0.8,0.7,1.0,1.79,1.08,1.03,1.04,1.38,1.04,1.0,0.83,0.86
d_0,1.06,0.73,0.74,1.59,0.8,0.74,1.08,0.8,1.6,0.88,1.15,0.93,1.08,0.9,1.03,1.17
c_0,1.23,0.88,0.98,0.78,0.64,0.7,1.12,1.1,1.12,1.62,1.84,0.85,1.46,1.19,1.29,1.19
b_0,1.21,0.82,0.97,1.08,0.59,0.66,1.22,1.14,1.13,0.94,1.67,0.98,1.21,1.56,1.18,1.03
f_0,0.77,0.76,1.19,1.01,0.92,0.84,1.22,0.85,1.28,1.5,1.24,1.69,1.24,0.93,1.22,1.73
h_0,1.39,1.02,1.02,0.99,0.88,0.66,0.87,1.3,1.09,1.01,1.15,1.0,1.01,1.02,1.49,0.85
a_0,1.38,0.88,1.09,0.88,0.97,0.53,1.32,1.04,1.2,1.02,1.01,1.23,1.36,1.75,1.23,1.17
g_0,0.97,0.9,1.48,1.07,0.9,0.8,0.86,0.9,1.09,1.15,1.28,1.55,1.15,0.97,0.99,0.97
e_0,1.47,0.72,1.02,1.13,0.88,0.81,1.24,1.17,1.22,1.1,1.31,0.88,1.61,1.27,1.24,1.79
