,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.86,1.29,1.01,0.93,0.89,0.9,1.04,1.03,0.92,0.94,0.9,0.85,1.09,1.02,0.82
d_1,1.15,1.0,1.08,0.9,1.0,0.84,1.0,0.86,0.96,1.28,0.96,1.07,1.01,0.84,0.98,0.93
e_1,0.79,0.91,1.0,1.15,1.01,1.08,1.08,1.07,1.39,1.04,1.13,1.14,1.11,1.02,1.1,1.25
c_1,0.98,1.15,0.86,1.0,1.36,0.82,0.94,0.93,0.7,0.83,0.97,0.8,1.07,1.02,0.95,0.94
b_1,1.07,1.0,0.97,0.75,1.0,1.58,1.11,1.05,0.95,1.04,0.98,1.01,0.96,1.1,0.83,1.03
a_1,1.12,1.17,0.91,1.19,0.65,1.0,1.03,1.09,1.1,0.96,1.06,1.13,1.09,1.04,0.98,1.07
h_1,1.15,1.0,0.91,1.07,0.91,0.93,1.0,1.15,0.96,0.91,0.91,0.99,1.02,1.12,0.87,1.01
g_1,0.96,1.19,0.94,1.07,0.96,0.92,0.85,1.0,0.9,0.99,1.11,1.11,0.88,0.88,0.9,1.02
d_0,0.96,1.06,0.74,1.38,1.08,0.92,1.02,1.13,1.0,0.79,0.94,0.93,0.99,1.04,1.05,1.03
c_0,1.11,0.8,0.96,1.17,0.95,1.01,1.1,1.05,1.28,1.0,1.03,1.37,1.05,1.03,1.16,1.13
f_0,1.01,1.04,0.9,1.06,0.98,0.96,1.05,0.92,1.1,0.97,1.0,1.02,1.03,0.8,1.0,1.41
b_0,1.14,0.98,0.88,1.19,1.0,0.87,1.01,0.95,1.01,0.71,0.98,1.0,1.12,0.99,1.46,1.0
h_0,1.19,0.97,0.92,0.96,1.02,0.92,1.03,1.12,0.98,0.91,0.95,0.92,1.0,1.18,0.94,0.9
g_0,0.89,1.2,0.96,1.02,0.89,0.93,0.9,1.1,0.9,1.0,1.22,0.99,0.83,1.0,1.01,0.99
a_0,0.94,1.09,0.94,1.07,1.11,1.02,1.1,1.1,0.96,0.86,1.03,0.69,1.09,1.03,1.0,0.91
e_0,1.22,1.04,0.74,1.07,0.99,0.95,1.03,0.98,0.98,0.87,0.75,1.03,1.12,1.03,1.14,1.0
