,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,5.99,3.67,2.25,2.28,1.92,1.78,7.35,9.93,7.7,9.85,6.1,10.01,9.48,17.08,7.56,15.45
e_1,2.33,5.97,1.76,2.89,2.18,2.16,8.24,18.62,8.07,9.71,10.78,10.42,11.94,16.16,7.71,15.07
d_1,2.54,2.39,6.58,1.62,1.78,2.5,8.91,7.0,7.9,19.84,11.62,12.87,11.69,16.58,12.32,17.05
c_1,2.04,1.77,2.17,6.8,4.05,2.34,7.21,10.84,8.12,5.23,11.01,7.52,10.63,14.95,12.21,16.08
b_1,2.23,1.97,2.2,2.06,7.5,4.7,7.33,9.4,7.17,8.33,11.56,6.07,9.28,16.33,12.06,16.13
a_1,2.51,2.41,2.35,2.21,2.06,11.11,8.61,10.85,8.37,10.64,11.3,12.09,8.47,16.61,10.54,14.32
h_1,3.11,2.32,2.7,2.47,2.22,1.99,17.01,9.7,12.0,11.57,11.87,10.9,12.47,13.82,11.64,24.44
d_0,2.56,2.01,1.78,4.65,2.69,1.93,9.17,17.42,8.3,7.74,9.7,11.78,11.94,18.24,13.07,19.03
g_1,2.09,2.11,4.14,2.4,2.02,2.13,8.51,9.91,22.16,11.57,15.97,12.08,14.16,16.99,14.01,13.97
c_0,3.0,2.38,2.8,1.67,1.88,2.16,10.41,9.92,10.7,19.11,12.86,22.35,18.63,19.26,14.42,20.11
f_0,1.69,2.1,2.86,2.91,2.65,2.48,9.86,11.39,10.63,12.04,21.27,14.21,16.87,18.55,28.81,18.39
b_0,2.72,2.46,2.99,2.51,1.86,1.74,9.43,10.21,9.22,12.24,11.55,22.21,29.41,18.31,12.85,17.18
a_0,2.63,2.43,2.91,2.33,2.42,1.35,10.68,11.21,9.59,13.42,13.04,12.89,26.44,19.16,14.4,20.8
h_0,3.44,2.18,2.89,2.79,2.18,2.39,6.11,10.28,11.54,10.41,10.6,11.1,11.53,12.72,12.44,22.81
e_0,2.3,1.53,2.71,3.05,3.06,2.49,9.24,10.06,10.68,11.86,12.22,12.29,15.35,21.36,27.36,19.96
g_0,2.11,2.06,3.83,2.53,2.05,2.29,9.68,9.95,6.54,11.72,21.0,11.8,12.51,17.43,17.7,14.68
