,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.35,0.93,0.96,0.86,0.71,0.56,0.7,0.59,0.52,0.56,0.61,0.5,0.48,0.55,0.4
e_1,0.74,1.0,0.98,1.05,1.01,0.94,0.69,0.68,0.99,0.68,0.71,0.74,0.57,0.62,0.63,0.58
d_1,1.09,1.01,1.0,0.99,0.98,0.8,0.76,0.57,0.64,0.8,0.71,0.59,0.63,0.58,0.44,0.59
c_1,1.06,0.95,1.02,1.0,1.27,0.89,0.75,0.64,0.46,0.6,0.52,0.65,0.6,0.66,0.54,0.53
b_1,1.14,0.99,1.02,0.78,1.0,1.32,0.86,0.72,0.73,0.77,0.66,0.61,0.71,0.53,0.68,0.64
a_1,1.42,1.07,1.26,1.11,0.77,1.0,0.95,0.86,0.77,0.86,0.84,0.75,0.86,0.75,0.66,0.65
h_1,1.8,1.38,1.35,1.36,1.18,1.04,1.0,1.15,0.99,0.87,0.86,0.79,0.82,0.76,1.06,0.8
g_1,1.43,1.5,1.77,1.53,1.38,1.18,0.9,1.0,1.01,0.92,0.89,1.13,0.78,0.87,0.83,0.86
d_0,1.65,1.04,1.52,2.2,1.34,1.31,1.06,0.98,1.0,0.8,1.02,0.84,0.94,0.92,0.92,1.04
c_0,1.92,1.45,1.26,1.59,1.21,1.13,1.1,1.12,1.11,1.0,1.41,0.81,1.09,1.06,0.99,1.03
b_0,1.82,1.41,1.42,1.99,1.51,1.18,1.17,1.19,0.97,0.71,1.0,0.87,0.93,1.29,0.86,0.86
f_0,1.64,1.28,1.77,1.58,1.55,1.39,1.22,0.81,1.14,1.24,1.12,1.0,0.96,0.93,0.77,1.38
h_0,2.07,1.78,1.63,1.64,1.36,1.19,1.2,1.34,1.06,0.92,1.06,0.98,1.0,0.9,1.11,0.78
a_0,2.08,1.61,1.73,1.59,1.73,1.34,1.32,1.12,1.14,0.91,0.82,1.05,1.06,1.0,0.97,0.97
g_0,1.76,1.53,2.2,1.81,1.56,1.42,0.93,1.23,1.18,1.0,1.16,1.35,0.91,1.05,1.0,1.0
e_0,2.62,1.82,1.58,1.97,1.51,1.56,1.3,1.29,1.05,0.98,1.19,0.71,1.29,1.07,1.01,1.0
