,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.32,1.05,0.5,0.51,0.48,0.39,1.1,0.88,1.24,1.08,0.54,1.01,1.39,0.69,1.01,1.06
e_1,0.68,2.32,0.71,0.47,0.46,0.47,0.97,0.79,2.27,1.06,1.23,1.14,1.35,0.59,0.98,1.32
c_1,0.59,0.5,2.38,0.56,1.01,0.31,1.12,0.89,1.16,0.51,1.09,0.76,1.53,1.01,0.89,1.34
d_1,0.67,0.51,0.44,2.42,0.5,0.33,1.09,0.91,0.71,2.42,1.26,1.17,1.58,1.03,0.89,1.68
b_1,0.58,0.54,0.62,0.51,2.57,0.88,1.13,0.76,0.99,0.95,1.02,0.49,1.3,0.91,0.82,1.2
a_1,0.62,0.66,0.69,0.56,0.41,3.15,1.01,1.04,1.24,0.82,1.27,1.31,1.44,1.15,0.43,1.05
h_1,1.01,0.7,0.69,0.74,0.59,0.46,3.01,1.54,1.36,1.26,1.25,1.21,1.19,1.25,0.98,2.05
g_1,0.65,0.55,0.65,1.19,0.55,0.46,1.17,3.38,1.22,1.39,2.27,1.41,1.53,1.12,1.24,0.99
d_0,0.69,0.71,1.3,0.34,0.66,0.53,1.14,1.23,2.44,0.97,1.46,1.29,1.77,1.14,1.33,1.39
c_0,0.85,0.73,0.51,0.81,0.37,0.51,1.14,1.15,1.52,2.81,1.29,2.97,2.12,1.37,1.38,1.98
f_0,0.43,0.59,0.85,0.8,0.73,0.56,1.19,1.11,1.62,1.41,2.96,1.6,2.01,2.56,1.13,1.55
b_0,0.75,0.76,0.74,0.89,0.3,0.35,1.38,1.4,1.56,1.56,1.37,3.03,2.29,1.15,2.61,1.64
h_0,0.97,0.68,0.73,0.77,0.65,0.44,0.9,1.66,1.37,1.4,1.41,1.33,1.35,1.22,1.33,2.09
e_0,0.78,0.42,0.69,0.82,0.68,0.56,1.23,1.48,1.4,1.7,1.7,1.83,2.15,3.15,1.44,1.59
a_0,0.68,0.62,0.81,0.9,0.6,0.28,1.48,1.38,1.6,1.56,1.35,1.35,2.25,1.1,3.07,1.82
g_0,0.58,0.61,0.6,1.1,0.74,0.47,1.12,0.93,1.35,1.58,2.25,1.5,2.01,1.55,1.24,0.99
