,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.95,0.52,0.51,0.65,0.48,0.34,0.37,0.33,0.52,0.32,0.32,0.28,0.31,0.34,0.18,0.24
f_1,0.83,0.95,0.52,0.52,0.43,0.32,0.33,0.3,0.35,0.33,0.33,0.21,0.25,0.27,0.19,0.22
d_1,0.56,0.61,0.95,0.46,0.47,0.36,0.39,0.33,0.3,0.54,0.4,0.3,0.28,0.32,0.26,0.26
c_1,0.55,0.59,0.57,0.95,0.78,0.35,0.38,0.32,0.29,0.22,0.24,0.28,0.27,0.3,0.23,0.23
b_1,0.6,0.64,0.58,0.47,0.95,0.62,0.4,0.35,0.36,0.32,0.27,0.33,0.21,0.37,0.24,0.3
a_1,0.73,0.72,0.62,0.63,0.46,0.94,0.5,0.44,0.39,0.41,0.41,0.31,0.31,0.4,0.33,0.35
h_1,0.87,1.09,0.87,0.8,0.65,0.4,0.78,0.64,0.5,0.49,0.45,0.43,0.4,0.37,0.36,0.48
g_1,0.83,0.77,1.14,0.87,0.69,0.47,0.53,0.79,0.56,0.51,0.49,0.58,0.41,0.53,0.39,0.31
d_0,0.82,0.88,0.75,1.31,0.81,0.57,0.6,0.54,0.7,0.43,0.47,0.43,0.41,0.52,0.41,0.39
c_0,1.04,0.95,0.79,0.86,0.76,0.53,0.6,0.55,0.65,0.72,0.88,0.52,0.57,0.6,0.4,0.42
b_0,0.98,0.96,0.81,1.04,0.7,0.47,0.63,0.56,0.64,0.46,0.73,0.49,0.76,0.56,0.42,0.42
f_0,0.85,0.94,0.97,0.96,0.76,0.73,0.62,0.56,0.75,0.65,0.55,0.71,0.56,0.65,0.75,0.45
a_0,1.03,1.18,0.99,0.9,0.93,0.53,0.68,0.57,0.62,0.57,0.52,0.51,0.66,0.61,0.48,0.46
h_0,0.98,1.34,1.03,0.99,0.76,0.58,0.56,0.6,0.58,0.55,0.58,0.42,0.42,0.48,0.46,0.53
e_0,1.01,1.27,0.99,1.0,0.88,0.64,0.77,0.64,0.6,0.59,0.58,0.44,0.48,0.59,0.65,0.51
g_0,0.97,1.16,1.47,1.02,0.83,0.58,0.63,0.62,0.59,0.72,0.62,0.72,0.48,0.55,0.49,0.45
