,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,2.04,2.93,3.68,3.68,2.51,1.16,1.11,1.17,0.89,0.98,1.16,0.71,0.66,2.6,0.71
f_1,3.9,1.07,3.6,3.15,2.96,2.43,0.84,0.94,1.32,0.89,0.77,1.74,0.93,0.55,0.8,0.75
d_1,4.21,3.35,1.07,3.49,2.76,3.39,1.39,2.08,0.88,1.14,1.11,0.78,0.96,0.82,0.79,0.52
c_1,3.03,3.92,3.92,1.07,3.83,2.9,1.46,0.68,1.23,1.79,0.98,0.9,0.91,0.87,0.94,0.79
b_1,3.67,4.29,4.45,2.6,1.07,4.06,1.56,1.34,1.7,1.41,1.9,1.23,1.08,1.07,0.96,0.66
a_1,5.75,7.26,5.52,4.56,3.31,1.07,2.17,1.52,2.46,1.7,1.9,1.66,2.58,1.16,1.11,1.32
h_1,7.53,9.19,6.3,7.01,6.97,5.37,1.38,2.06,2.49,1.78,1.67,1.65,1.81,2.26,1.73,1.83
d_0,5.47,10.57,14.14,10.51,8.39,9.84,4.05,1.64,3.11,2.36,2.32,2.13,2.75,2.08,2.19,2.42
g_1,9.09,9.35,9.9,10.35,7.44,7.08,3.25,2.54,1.38,2.62,2.22,2.56,2.35,1.65,2.15,3.45
c_0,10.47,9.37,5.51,17.96,9.32,7.37,4.3,3.48,3.07,1.65,3.51,2.69,2.52,2.25,2.56,2.49
b_0,8.57,11.99,9.27,10.71,,7.4,4.38,2.73,3.54,1.76,1.66,2.82,4.09,2.34,2.13,2.2
f_0,9.33,22.89,11.75,12.33,9.48,8.07,4.57,3.42,2.83,2.91,2.59,1.64,3.07,2.21,3.33,1.68
a_0,13.21,11.48,11.28,12.41,14.66,,4.73,3.74,4.11,3.45,1.92,2.83,1.61,2.78,3.25,2.92
h_0,13.21,13.61,11.71,12.22,11.61,11.36,8.47,3.81,4.13,3.36,3.56,3.04,3.49,5.14,2.82,3.31
e_0,23.25,17.58,10.38,12.74,11.07,12.19,5.43,4.85,4.57,3.99,4.64,2.12,3.64,3.68,1.72,3.38
g_0,13.72,16.96,15.22,11.95,17.9,13.76,5.14,4.22,6.85,3.72,4.41,3.78,4.55,2.36,3.27,4.86
