,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.17,0.09,0.1,0.08,0.07,0.06,0.07,0.06,0.05,0.06,,0.05,0.05,0.05,0.05
e_1,0.09,0.93,0.09,0.11,0.08,0.06,0.08,0.1,0.06,0.07,0.05,0.06,0.05,0.04,0.06,
d_1,0.13,0.1,0.93,0.09,0.09,0.08,0.07,,0.04,0.11,0.06,0.04,0.07,0.04,0.04,0.04
c_1,0.11,0.08,0.1,0.93,0.14,0.08,0.07,0.06,0.08,,0.05,0.07,0.08,0.05,0.05,
b_1,0.1,0.1,0.11,0.11,0.93,,0.09,0.08,0.07,0.06,,0.06,0.05,,0.06,0.05
a_1,0.12,0.14,0.11,0.11,,0.93,0.09,0.1,0.08,0.09,0.07,0.06,0.08,,0.05,
h_1,0.42,0.26,0.27,0.27,0.22,0.18,0.71,0.19,0.19,0.18,0.13,0.11,,0.13,0.18,0.12
d_0,0.38,0.4,,0.55,0.23,0.16,0.31,0.57,0.21,0.24,0.17,0.16,0.24,0.13,0.19,0.11
g_1,0.33,0.21,0.49,0.21,0.26,0.16,0.23,0.16,0.71,0.17,0.21,0.3,0.17,,,
c_0,0.37,0.37,0.33,,0.27,0.19,0.26,0.21,0.19,0.58,0.35,0.19,0.2,0.19,0.17,0.14
b_0,0.28,0.39,0.35,0.36,,0.23,0.34,0.3,0.19,0.18,0.57,0.21,0.2,0.3,0.19,0.16
f_0,,0.37,0.44,0.3,0.33,0.23,0.31,0.28,0.17,0.31,0.24,0.55,0.28,0.18,0.13,0.23
h_0,0.72,0.57,0.44,0.41,0.46,0.24,,0.23,0.33,0.31,0.3,0.18,,0.18,0.36,0.18
a_0,0.36,0.39,0.34,0.33,,,0.27,0.31,,0.25,0.18,0.25,0.27,0.58,0.23,
g_0,0.44,0.42,0.72,0.66,0.45,0.32,0.27,0.28,,0.32,0.25,0.41,0.28,0.18,,
e_0,0.38,,0.47,,0.36,,0.41,0.31,,0.21,0.31,0.2,0.24,,,0.59
