,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.69,0.72,0.54,0.97,0.72,0.69,0.94,0.87,2.46,0.8,1.05,0.93,1.09,1.03,0.72,0.93
f_1,1.75,10.53,0.57,0.73,0.72,0.54,0.79,0.78,0.98,0.85,0.86,0.59,0.92,0.75,0.48,0.99
d_1,0.65,0.8,14.97,0.48,0.52,0.69,1.03,1.01,0.53,3.0,1.34,1.16,1.12,1.28,1.16,0.95
c_1,0.54,0.57,0.71,12.02,1.94,0.75,0.95,0.88,0.8,0.44,0.65,0.99,0.88,0.92,1.21,0.8
b_1,0.53,0.64,0.85,0.82,11.98,1.75,0.86,0.98,0.77,0.76,0.62,0.99,0.83,0.77,0.92,0.89
a_1,0.68,0.77,0.74,0.68,0.67,20.2,1.01,0.85,0.99,1.07,1.02,1.07,1.22,0.56,1.16,1.15
h_1,0.7,1.24,0.94,0.73,0.62,0.73,3.14,1.58,0.74,0.96,1.14,1.09,0.67,0.99,1.06,1.65
g_1,0.54,0.76,1.88,0.76,0.6,0.75,0.93,4.12,0.71,1.1,1.19,2.29,0.95,1.16,1.58,0.76
d_0,0.69,0.75,0.47,2.25,0.96,0.73,1.12,1.05,1.96,0.58,1.01,1.0,0.99,0.94,1.09,1.02
c_0,0.84,1.1,0.87,0.65,0.49,0.61,1.31,1.18,0.93,2.03,3.07,1.01,1.27,1.49,1.3,1.24
b_0,0.92,1.0,0.9,0.81,0.45,0.65,1.15,1.11,1.0,1.0,2.37,0.9,1.12,2.98,1.14,1.35
f_0,0.51,0.64,1.31,0.71,0.73,0.72,1.51,1.2,0.96,1.29,1.22,2.56,1.31,1.21,3.2,1.5
h_0,0.8,1.19,0.97,0.79,0.71,0.55,0.75,1.35,1.07,1.0,0.94,1.11,0.65,0.88,1.0,1.59
a_0,0.81,1.03,0.99,0.68,0.58,0.49,0.95,1.16,0.83,1.33,1.03,0.94,1.37,3.35,1.2,1.26
e_0,0.6,1.02,0.86,0.71,0.88,0.87,1.34,1.29,0.83,1.07,1.3,0.99,1.55,1.14,3.04,1.1
g_0,0.64,0.68,1.69,0.76,0.57,0.78,1.07,0.95,0.78,1.07,1.11,1.85,1.08,1.32,1.27,0.97
