,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.44,3.48,4.26,4.11,4.01,4.43,0.93,1.51,0.94,1.0,3.67,0.8,0.39,0.76,0.96,1.01
d_1,4.8,0.43,5.56,4.15,4.44,3.77,1.45,0.88,2.89,0.9,0.83,0.69,0.64,0.38,0.77,0.67
e_1,2.18,4.7,0.43,5.06,5.11,5.09,1.51,1.26,0.97,0.92,1.04,1.13,0.72,0.69,0.92,3.86
c_1,4.41,5.77,4.62,0.42,4.14,4.39,1.0,1.07,0.54,3.29,0.91,0.73,0.81,0.63,0.81,0.97
b_1,6.28,5.05,4.46,2.35,0.4,5.41,1.62,1.77,1.03,1.09,0.9,4.42,0.64,0.85,1.14,1.09
a_1,5.85,9.06,5.28,9.78,3.33,0.32,2.07,1.48,1.19,0.98,1.09,1.22,0.9,1.02,,1.06
h_1,5.35,5.08,4.53,4.84,4.55,4.84,0.36,1.87,0.9,0.91,0.9,1.12,2.11,0.73,0.76,0.95
g_1,7.32,4.78,5.69,6.5,6.31,4.86,1.16,0.32,1.1,0.96,0.95,1.35,0.54,1.71,1.12,0.83
d_0,5.28,13.16,2.93,5.99,6.75,5.58,1.73,1.91,0.44,1.14,1.28,0.97,1.02,0.77,1.18,1.25
c_0,7.65,3.14,5.4,24.47,5.87,5.72,1.65,1.44,1.55,0.42,1.1,1.38,0.86,0.83,1.61,1.09
f_0,23.76,4.95,5.99,7.08,5.97,4.49,1.62,1.22,1.96,0.88,0.4,1.07,0.76,0.57,1.0,1.11
b_0,6.83,4.77,5.46,7.56,19.84,5.59,1.52,1.77,1.29,0.66,1.12,0.42,1.07,0.77,1.29,0.94
h_0,7.58,5.88,5.6,7.21,7.8,7.08,5.7,2.09,1.86,1.17,1.52,1.31,2.97,1.24,1.31,1.24
g_0,7.73,6.81,6.52,7.65,7.17,8.25,1.45,7.84,1.64,1.46,1.43,1.61,0.9,3.1,1.34,1.2
a_0,6.73,6.75,8.58,7.07,8.94,,2.01,2.55,1.36,1.18,1.4,0.8,1.01,1.14,0.35,1.17
e_0,13.7,7.11,18.85,5.92,6.08,8.53,1.58,1.85,1.58,1.26,0.72,1.36,1.31,0.97,2.37,0.34
