,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.66,1.34,1.25,1.14,1.25,1.12,0.46,0.61,0.5,0.41,0.62,0.47,0.33,0.4,0.45,0.4
e_1,0.87,0.66,1.53,1.37,1.31,1.14,0.6,0.66,0.55,0.49,0.59,0.48,0.42,0.75,0.5,0.41
c_1,1.49,1.08,0.65,1.59,1.43,1.0,0.59,0.62,0.31,0.56,0.44,0.46,0.39,0.44,0.42,0.44
d_1,1.48,1.51,1.28,0.64,1.36,1.17,0.58,0.4,0.81,0.52,0.45,0.4,0.39,0.43,0.38,0.29
b_1,1.48,1.56,0.9,1.42,0.63,1.91,0.71,0.64,0.52,0.75,0.51,0.85,0.42,0.49,0.51,0.38
a_1,1.8,1.57,2.2,1.99,0.89,0.56,0.78,0.8,0.58,0.6,0.65,0.9,0.6,0.63,0.84,0.51
h_1,2.11,2.04,1.88,1.95,1.74,1.75,0.58,0.98,0.76,0.79,0.81,0.7,0.74,0.71,0.62,0.69
g_1,2.24,2.24,2.18,2.42,2.34,1.61,0.76,0.54,0.72,0.79,0.91,0.7,0.46,0.59,0.7,0.67
d_0,2.13,1.41,2.61,2.33,2.66,1.87,1.02,1.08,0.64,0.71,0.8,0.74,0.68,0.74,0.75,0.7
c_0,2.37,2.34,3.58,1.36,2.27,2.51,1.03,1.04,1.02,0.6,0.82,0.92,0.69,0.73,0.81,0.61
f_0,3.05,1.99,2.57,2.22,2.39,1.81,1.0,0.68,0.82,0.87,0.58,0.89,0.7,0.75,0.86,0.44
b_0,2.41,2.42,3.06,2.14,2.89,1.77,1.2,1.07,0.85,0.51,0.77,0.57,0.77,0.69,1.0,0.64
h_0,2.77,2.49,2.48,2.32,2.47,2.22,1.38,1.37,0.88,0.79,0.86,0.75,0.86,0.79,0.73,0.66
e_0,3.52,3.25,2.49,2.49,2.59,2.27,1.06,1.18,1.05,0.86,0.59,1.09,0.79,0.56,0.92,0.61
a_0,2.64,2.63,2.82,3.12,2.78,3.4,1.39,1.1,0.88,0.88,0.97,0.52,0.78,0.78,0.57,0.74
g_0,2.88,2.64,2.59,2.49,2.78,3.0,0.98,1.61,1.11,0.94,1.18,1.03,0.68,0.93,0.87,1.01
