,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.53,1.79,1.49,1.7,1.64,0.39,0.58,0.4,0.29,0.31,0.69,0.17,0.32,0.3,0.27
e_1,1.0,0.43,2.17,1.83,1.88,1.42,0.52,0.79,0.36,0.37,0.33,0.5,0.26,0.32,0.71,0.27
c_1,1.86,1.42,0.42,2.17,1.64,1.92,0.5,0.49,0.2,0.59,0.35,0.3,0.24,0.37,0.36,0.24
d_1,1.77,2.2,1.58,0.41,1.89,1.36,0.46,0.31,0.73,0.33,0.38,0.38,0.28,0.38,0.43,0.17
b_1,2.14,1.97,1.08,1.77,0.39,2.26,0.59,0.55,0.46,0.59,0.95,0.41,0.32,0.35,0.37,0.33
a_1,3.07,2.7,2.42,2.39,1.17,0.32,0.87,0.67,0.46,0.41,0.61,0.4,0.39,0.83,0.39,0.36
h_1,2.98,2.79,2.98,2.69,2.45,2.32,0.33,0.81,0.58,0.52,0.65,0.48,0.82,0.54,0.47,0.47
g_1,3.69,3.03,3.07,3.0,3.16,3.11,0.71,0.3,0.72,0.72,0.61,0.64,0.36,0.88,0.53,0.54
d_0,3.45,1.71,3.52,6.24,3.08,3.49,0.95,1.07,0.39,0.66,0.68,0.57,0.53,0.85,0.59,0.54
c_0,3.25,3.4,7.31,1.69,3.29,3.01,0.99,0.97,0.96,0.39,0.65,0.65,0.58,0.76,0.77,0.49
b_0,3.25,3.07,4.6,2.4,7.42,3.26,0.98,0.87,0.68,0.35,0.35,0.87,0.49,0.66,0.74,0.57
f_0,5.96,3.39,3.93,3.42,3.32,3.37,0.97,0.56,0.68,0.72,0.81,0.33,0.5,0.83,0.61,0.33
h_0,4.01,4.14,3.39,3.52,4.38,4.16,1.68,1.09,0.74,0.75,0.63,0.75,0.78,0.62,0.57,0.5
a_0,4.28,4.16,4.18,3.26,4.11,5.96,1.17,0.98,0.95,0.7,0.42,1.14,0.56,0.32,0.85,0.54
e_0,6.18,7.44,4.06,3.79,3.7,4.1,1.21,0.82,0.82,0.72,0.78,0.38,0.81,1.29,0.3,0.52
g_0,4.19,4.27,4.58,3.99,4.16,6.68,0.81,1.59,0.76,0.84,0.8,0.76,0.42,0.9,0.73,0.96
