,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.72,0.35,0.26,0.46,0.34,0.28,0.69,0.82,0.71,1.45,0.84,0.83,0.79,0.87,0.2,0.82
f_1,0.65,24.65,0.32,0.4,0.27,0.24,0.78,0.44,0.54,0.74,0.87,0.16,0.78,0.84,0.86,0.82
d_1,0.26,0.35,27.39,0.24,0.4,0.38,0.66,0.87,1.66,0.2,0.8,0.73,1.2,0.9,0.86,0.7
c_1,0.3,0.34,0.35,29.4,0.71,0.29,0.58,0.6,0.15,0.81,0.49,0.91,0.78,0.89,0.91,1.01
b_1,0.28,0.34,0.4,0.31,31.94,0.74,0.83,0.63,0.71,0.66,0.15,1.04,1.02,0.39,0.82,0.92
a_1,0.38,0.36,0.27,0.29,0.32,45.73,0.92,0.74,0.97,0.78,0.71,0.65,1.06,0.27,0.94,1.12
h_1,0.62,0.95,0.6,0.59,0.48,0.71,9.29,2.04,1.61,1.3,1.5,1.19,0.29,1.36,1.28,1.74
g_1,0.46,0.51,1.27,0.73,0.5,0.67,1.18,11.66,1.39,1.24,1.29,2.24,1.61,1.0,1.28,0.51
c_0,0.75,0.67,0.8,0.24,0.47,0.85,1.26,1.25,5.69,1.55,4.21,1.7,1.55,1.75,1.79,1.62
d_0,0.73,0.75,0.17,1.32,0.59,0.55,1.52,1.1,1.33,6.04,2.13,1.94,1.55,1.49,1.69,1.57
b_0,0.69,0.74,0.77,0.65,0.22,0.61,1.56,1.63,1.82,1.42,6.18,1.96,1.53,3.75,1.52,1.8
f_0,0.5,0.26,0.85,0.78,0.71,0.89,1.58,1.89,1.54,1.42,2.12,5.88,1.7,1.4,3.01,1.41
h_0,0.6,0.98,0.86,0.65,0.48,0.62,0.51,1.7,1.39,1.11,1.46,1.27,0.51,0.84,1.54,2.1
a_0,0.6,0.68,0.79,0.56,0.86,,1.18,1.34,1.35,1.68,1.64,2.05,1.72,8.42,1.26,1.48
e_0,0.22,0.81,0.65,0.92,0.7,0.67,1.69,1.23,1.49,2.39,1.74,1.73,1.56,1.37,9.11,1.74
g_0,0.57,0.44,1.11,0.77,0.6,0.56,1.06,0.7,1.67,1.39,2.0,3.26,1.22,1.54,1.09,0.45
