,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,17.08,0.63,0.5,0.37,0.44,0.57,0.97,0.79,1.9,0.33,1.21,1.14,1.11,1.17,0.84,1.29
f_1,0.54,17.67,1.09,0.44,0.53,0.36,0.81,0.75,0.85,0.92,0.95,0.36,1.08,0.88,0.58,0.82
e_1,0.46,0.52,19.18,0.75,0.49,0.48,0.79,0.8,0.97,2.24,1.1,0.99,1.02,0.96,0.46,0.9
c_1,0.48,0.53,0.44,19.86,1.1,0.66,0.83,0.95,0.24,0.81,0.52,0.99,0.8,0.91,0.94,0.76
b_1,0.56,0.54,0.43,0.54,23.1,1.28,0.79,0.9,0.83,0.94,0.22,0.76,0.64,0.74,0.84,0.76
a_1,0.43,0.46,0.43,0.71,0.72,33.19,1.06,0.76,0.73,0.86,0.94,1.07,0.17,1.01,1.45,1.17
h_1,0.85,1.11,0.56,0.56,0.51,0.43,5.57,1.51,1.15,0.94,1.43,1.11,0.97,0.69,1.34,1.63
g_1,1.21,0.54,0.54,0.59,0.5,0.63,1.14,6.95,0.87,0.9,1.45,2.11,1.22,1.5,1.66,0.7
c_0,0.94,0.7,0.91,0.42,0.46,0.57,1.12,1.12,3.54,1.03,3.13,1.24,1.53,1.14,1.34,1.41
d_0,0.37,0.67,0.68,2.03,0.69,0.58,0.99,1.13,0.6,2.78,1.0,0.96,1.2,1.27,1.04,0.9
b_0,0.88,0.81,0.57,0.96,0.27,0.39,1.24,1.3,1.14,1.14,3.6,1.2,2.49,1.17,1.3,1.23
f_0,0.92,0.26,0.59,0.72,0.71,0.68,1.4,1.43,1.53,1.04,1.29,4.4,1.24,1.25,4.46,1.61
a_0,0.67,0.71,0.7,0.99,0.62,0.33,1.15,1.23,1.16,1.09,1.39,1.12,4.66,1.61,1.22,1.12
h_0,0.8,1.15,0.66,0.79,0.52,0.62,0.53,1.71,1.13,1.04,1.19,1.19,1.31,0.68,0.96,1.46
e_0,0.76,0.6,0.38,0.88,0.94,0.82,1.11,1.06,1.2,1.1,1.21,1.1,1.05,1.67,5.46,1.1
g_0,1.64,0.64,0.61,0.64,0.58,0.5,1.2,0.7,1.29,0.89,1.23,2.01,1.14,1.38,1.63,0.81
