,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.71,1.26,0.76,0.76,0.64,0.63,0.96,0.89,1.02,0.87,0.99,0.72,0.98,1.1,0.76,0.9
e_1,0.82,1.73,0.71,1.02,0.83,0.71,0.87,0.91,1.6,0.92,0.98,0.98,1.0,1.02,0.79,0.99
d_1,0.9,0.78,1.97,0.62,0.73,0.73,1.06,1.08,0.69,1.66,1.2,1.1,1.07,1.07,1.05,1.14
c_1,0.79,0.67,0.84,2.03,1.46,0.78,0.94,0.84,0.8,0.57,0.72,0.92,0.92,0.89,0.97,0.86
b_1,0.79,0.86,0.78,0.81,2.15,1.52,0.98,0.91,0.83,0.89,0.68,0.93,0.9,0.62,0.99,0.85
a_1,0.89,0.76,0.89,0.86,0.8,2.95,0.96,0.88,0.94,1.07,0.92,0.93,1.13,0.67,1.03,1.07
h_1,1.18,0.83,0.94,0.74,0.73,0.79,1.66,1.28,0.8,0.91,1.07,1.09,0.86,1.12,0.97,1.29
g_1,0.81,0.78,1.33,0.88,0.76,0.88,1.0,2.04,0.86,0.98,0.97,1.54,1.07,0.88,1.28,0.94
d_0,0.85,0.82,0.67,1.54,0.94,0.72,0.95,0.95,1.45,0.71,1.08,0.95,0.97,1.07,0.96,0.96
c_0,0.94,0.86,1.02,0.73,0.63,0.94,1.11,1.03,1.01,1.48,1.89,1.15,1.03,1.35,1.14,1.19
b_0,0.98,0.8,1.03,0.94,0.59,0.7,1.06,1.11,1.04,1.08,1.66,1.08,1.21,1.98,1.18,1.15
f_0,0.74,0.64,1.08,1.06,0.92,0.96,1.19,1.19,0.98,1.11,1.21,1.9,1.09,1.11,2.22,1.17
h_0,1.11,0.81,0.99,0.85,0.72,0.75,0.76,1.28,0.95,1.03,1.17,1.04,0.95,0.97,1.19,1.23
a_0,0.91,0.87,0.99,0.95,0.76,0.55,1.07,1.23,1.04,0.93,1.02,1.16,1.1,2.15,1.03,1.15
e_0,1.0,0.66,0.98,0.97,0.81,0.93,1.11,1.29,0.92,1.03,1.19,1.21,1.13,0.96,2.22,1.09
g_0,0.82,0.76,1.32,0.95,0.76,0.66,0.96,0.95,0.8,1.04,1.13,1.59,1.07,1.09,1.19,1.0
