,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.17,0.39,0.69,0.74,0.73,0.74,0.23,0.14,0.21,0.14,0.16,0.14,0.11,0.12,0.1,0.28
f_1,0.61,0.16,0.71,0.54,0.73,0.66,0.14,0.15,0.2,0.14,0.19,0.12,0.06,0.12,0.11,0.13
c_1,0.49,0.71,0.15,0.87,0.7,0.63,0.18,0.07,0.17,0.26,0.12,0.14,0.11,0.13,0.12,0.11
d_1,0.84,0.72,0.66,0.15,0.66,0.5,0.16,0.33,0.12,0.12,0.12,0.15,0.09,0.14,0.06,0.11
b_1,0.71,0.73,0.37,0.72,0.14,0.61,0.21,0.15,0.23,0.16,0.14,0.28,0.1,0.15,0.09,0.12
a_1,0.77,0.69,0.69,0.73,0.3,0.1,0.21,0.19,0.19,0.18,0.16,0.26,0.11,0.3,0.14,0.21
h_1,0.55,0.57,0.57,0.48,0.48,0.51,0.06,0.11,0.14,0.09,0.09,0.1,0.1,0.09,0.07,0.08
d_0,0.27,0.61,0.55,0.99,0.65,0.53,0.18,0.07,0.18,0.11,0.1,0.09,0.09,0.11,0.09,0.1
g_1,0.52,0.62,0.59,0.51,0.5,0.48,0.11,0.13,0.05,0.11,0.1,0.11,0.06,0.12,0.11,0.1
c_0,0.55,0.52,1.2,0.27,0.59,0.53,0.17,0.21,0.16,0.06,0.1,0.1,0.07,0.12,0.07,0.1
f_0,0.5,1.06,0.53,0.49,0.47,0.47,0.15,0.11,0.08,0.1,0.06,0.11,0.08,0.1,0.05,0.12
b_0,0.56,0.54,0.69,0.42,0.82,0.51,0.15,0.11,0.17,0.05,0.09,0.05,0.07,0.09,0.06,0.09
h_0,0.51,0.58,0.44,0.45,0.49,0.52,0.23,0.12,0.15,0.11,0.1,0.11,0.11,0.1,0.08,0.09
a_0,0.47,0.55,0.52,0.53,0.61,0.82,0.14,0.1,0.14,0.1,0.09,0.05,0.07,0.04,0.08,0.08
g_0,0.52,0.54,0.5,0.44,0.59,0.53,0.12,0.12,0.23,0.1,0.1,0.11,0.05,0.12,0.1,0.09
e_0,0.71,0.69,0.56,0.51,0.53,0.41,0.13,0.11,0.15,0.11,0.05,0.1,0.08,0.1,0.06,0.04
