,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,103.08,47.51,60.66,109.59,143.95,244.18,8773.38,16886.98,34083.77,19132.9,36016.56,36962.11,89083.82,86037.33,173733.43,152201.74
f_1,78.67,105.41,62.5,76.3,121.21,268.32,7014.3,16510.6,19815.86,19967.72,19798.24,32527.71,78203.78,81214.53,136697.84,117432.63
d_1,46.97,55.01,129.37,69.56,123.3,255.43,7821.58,13418.46,13103.7,29197.87,28110.61,32151.89,81730.94,93939.71,123226.89,108934.82
c_1,36.83,50.04,56.77,152.01,199.67,251.13,7230.94,13467.99,14373.43,10099.96,23514.23,21804.25,73545.02,77505.83,126806.02,111409.12
b_1,35.65,38.6,48.19,49.66,233.57,347.27,6934.87,13542.07,13803.68,14797.92,23066.81,13396.3,57504.67,88536.63,105930.41,94963.85
a_1,31.43,31.37,46.22,47.48,66.61,426.33,5300.71,9707.33,10720.3,12053.81,17867.24,17913.94,51274.15,54942.68,87373.72,47065.6
h_1,11.91,18.3,17.27,21.91,30.36,68.24,3346.27,5416.86,5595.75,5099.73,6966.82,7889.36,16859.11,28252.94,41699.97,29311.85
g_1,10.23,9.68,18.69,16.19,21.73,61.47,1588.69,5797.15,3599.95,4137.36,8338.3,6573.57,13055.83,21043.92,25857.36,27824.47
d_0,8.77,11.34,9.51,28.29,29.93,55.06,1389.87,3323.76,5358.86,2912.09,6020.95,5732.92,16209.08,19095.48,31594.52,26684.56
c_0,10.95,10.59,14.32,13.4,22.84,58.76,1605.71,3563.69,4599.68,5519.02,6999.73,10558.98,16212.04,22346.36,29707.7,34692.43
f_0,7.84,8.2,12.33,17.35,25.97,45.37,1570.96,2342.24,3912.98,3339.38,7780.39,6141.91,13970.0,31071.11,24821.95,23509.59
b_0,8.16,9.18,13.56,15.79,20.08,38.3,1510.32,3083.31,3658.06,3077.97,5422.69,8253.02,15065.16,19835.17,27112.21,45440.61
h_0,6.44,8.24,9.77,11.14,17.09,37.23,881.81,2899.61,2778.54,2587.43,3751.27,4292.79,8878.16,11124.59,25203.39,18112.3
e_0,3.8,7.68,8.54,11.7,14.56,36.96,989.47,2042.77,2162.99,2299.98,3183.3,3902.6,11144.55,19620.06,15805.68,14801.55
g_0,4.74,5.15,10.87,9.33,13.97,29.61,936.64,1481.46,2018.03,2182.71,4793.81,3357.39,7888.21,13707.14,14813.95,14534.66
a_0,4.87,6.53,8.86,9.57,15.81,22.73,1058.08,1759.53,2271.35,1679.86,3490.5,2812.07,9240.58,10608.41,16537.3,24589.57
