,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.3,0.89,1.06,0.81,0.72,0.38,0.45,0.39,0.41,0.36,0.33,0.31,0.27,0.24,0.33
e_1,0.77,1.0,0.87,1.04,1.1,0.77,0.54,0.48,0.45,0.61,0.44,0.4,0.43,0.37,0.42,0.33
d_1,1.13,1.14,1.0,0.92,0.84,0.77,0.48,0.37,0.55,0.41,0.44,0.4,0.32,0.34,0.31,0.25
c_1,0.94,0.96,1.08,1.0,1.31,0.72,0.46,0.36,0.36,0.32,0.33,0.34,0.33,0.37,0.28,0.33
b_1,1.24,0.91,1.21,0.77,1.0,1.13,0.52,0.52,0.5,0.46,0.42,0.4,0.35,0.43,0.44,0.38
a_1,1.37,1.29,1.32,1.4,0.89,1.0,0.8,0.69,0.56,0.59,0.62,0.48,0.46,0.48,0.47,0.45
h_1,2.62,1.85,2.1,2.12,1.95,1.31,1.0,1.18,0.85,0.79,0.85,0.69,0.62,0.7,0.62,0.72
g_1,2.46,2.09,2.72,2.65,1.99,1.5,0.86,1.0,0.82,0.86,0.93,0.94,0.7,0.59,0.78,0.67
c_0,2.62,2.3,1.79,2.59,1.79,1.63,1.17,1.33,1.0,1.12,1.31,0.87,0.94,0.86,0.82,0.77
d_0,2.38,1.64,2.33,3.18,2.13,1.74,1.28,1.16,0.82,1.0,0.96,0.85,0.79,0.84,0.65,0.81
b_0,2.81,2.25,2.35,3.16,2.19,1.59,1.23,1.07,0.78,1.11,1.0,0.99,1.26,0.89,0.74,0.71
f_0,2.88,2.45,2.51,3.04,2.27,2.13,1.39,1.06,1.12,1.15,0.99,1.0,0.94,1.08,1.22,0.71
a_0,3.23,2.5,2.97,2.97,3.22,2.05,1.65,1.4,1.08,1.17,0.81,1.05,1.0,1.16,0.95,0.89
h_0,3.88,2.67,2.96,2.66,2.21,2.17,1.41,1.6,1.18,1.25,1.17,0.94,0.9,1.0,0.98,1.06
e_0,4.26,2.37,3.11,3.63,2.28,2.07,1.64,1.38,1.24,1.5,1.33,0.82,1.01,0.93,1.0,0.95
g_0,3.09,2.89,4.12,3.13,2.68,2.21,1.41,1.51,1.36,1.18,1.31,1.51,1.15,0.89,0.96,1.0
