,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.84,1.25,1.58,1.63,3.53,19.21,30.34,38.74,32.61,52.22,59.7,77.74,121.75,116.92,148.51
f_1,1.18,1.0,1.1,1.33,1.4,2.87,14.73,27.49,27.01,32.52,46.51,45.21,53.59,107.5,102.63,96.96
d_1,0.82,0.92,1.0,0.91,1.3,2.82,14.43,19.57,24.34,36.33,43.9,42.21,62.81,69.28,93.92,96.54
c_1,0.63,0.76,1.09,1.0,1.55,2.56,12.58,21.29,15.69,23.39,30.1,34.43,55.79,83.21,77.85,83.96
b_1,0.61,0.72,0.77,0.65,1.0,2.93,11.31,18.04,17.05,25.61,30.27,30.51,50.23,73.35,65.5,86.86
a_1,0.28,0.35,0.34,0.38,0.34,1.0,5.66,9.21,8.64,8.66,14.66,13.45,22.9,35.67,32.84,34.41
h_1,0.06,0.07,0.07,0.08,0.09,0.18,1.0,1.84,1.59,1.85,2.79,3.33,3.99,7.59,6.56,6.99
g_1,0.03,0.04,0.05,0.05,0.06,0.12,0.54,1.0,0.88,1.28,1.78,2.18,2.39,3.96,4.5,4.91
d_0,0.03,0.04,0.04,0.06,0.06,0.12,0.64,1.1,1.0,1.04,1.77,1.8,2.76,4.14,3.93,4.83
c_0,0.03,0.03,0.03,0.04,0.04,0.11,0.54,0.79,0.95,1.0,2.17,1.47,2.2,3.45,3.4,3.59
b_0,0.02,0.02,0.02,0.03,0.04,0.07,0.36,0.58,0.57,0.5,1.0,1.0,1.59,2.35,3.19,2.47
f_0,0.02,0.02,0.02,0.03,0.03,0.08,0.3,0.46,0.57,0.67,1.07,1.0,1.65,2.06,2.37,3.31
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.25,0.43,0.36,0.47,0.6,0.62,1.0,1.66,1.4,1.55
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.25,0.23,0.29,0.41,0.51,0.61,0.99,0.97,1.03
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.22,0.26,0.3,0.32,0.42,0.71,1.02,1.0,1.07
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.21,0.22,0.27,0.4,0.32,0.64,0.95,0.91,1.0
