,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.96,0.59,0.51,0.7,0.6,0.37,0.43,0.59,0.35,0.36,0.35,0.35,0.38,0.33,0.24,0.3
f_1,0.93,0.96,0.54,0.55,0.51,0.39,0.36,0.43,0.33,0.37,0.35,0.28,0.31,0.27,0.22,0.29
d_1,0.67,0.79,0.96,0.52,0.49,0.43,0.43,0.38,0.32,0.57,0.43,0.34,0.38,0.29,0.28,0.29
c_1,0.57,0.64,0.64,0.96,0.85,0.49,0.4,0.37,0.35,0.26,0.3,0.34,0.37,0.26,0.26,0.31
b_1,0.59,0.68,0.67,0.57,0.95,0.78,0.44,0.39,0.37,0.4,0.31,0.37,0.37,0.25,0.27,0.36
a_1,0.82,0.8,0.74,0.68,0.51,0.94,0.53,0.5,0.45,0.42,0.43,0.41,0.44,0.29,0.38,0.4
h_1,0.94,1.22,0.96,0.82,0.82,0.59,0.79,0.59,0.63,0.53,0.49,0.48,0.45,0.39,0.38,0.53
d_0,0.83,0.97,0.85,1.34,1.0,0.6,0.62,0.76,0.5,0.4,0.5,0.5,0.56,0.42,0.42,0.49
g_1,0.96,1.03,1.27,0.79,0.79,0.61,0.62,0.6,0.8,0.65,0.53,0.67,0.54,0.46,0.52,0.47
c_0,1.06,1.15,0.95,0.96,0.76,0.65,0.73,0.82,0.52,0.74,0.85,0.58,0.58,0.56,0.51,0.56
b_0,1.09,1.12,1.01,1.07,0.82,0.62,0.72,0.71,0.64,0.57,0.75,0.52,0.63,0.72,0.49,0.57
f_0,1.02,1.01,0.99,0.98,1.01,0.77,0.78,0.76,0.59,0.61,0.61,0.75,0.66,0.45,0.78,0.52
h_0,1.19,1.36,1.13,1.02,0.98,0.74,0.61,0.69,0.69,0.61,0.57,0.5,0.52,0.41,0.44,0.63
a_0,1.2,1.21,1.1,1.09,1.01,0.6,0.79,0.77,0.6,0.6,0.61,0.62,0.77,0.69,0.51,0.52
e_0,1.18,1.42,1.17,1.04,1.1,0.69,0.75,0.75,0.59,0.68,0.62,0.52,0.7,0.48,0.67,0.64
g_0,1.17,1.21,1.48,1.07,0.98,0.79,0.69,0.69,0.5,0.68,0.68,0.77,0.6,0.57,0.5,0.53
