,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,95.26,69.35,55.0,83.7,139.68,328.64,6667.83,14098.11,18780.41,20017.98,22284.66,18264.11,72086.03,64856.82,146553.98,103571.27
e_1,45.79,98.08,55.37,96.38,120.81,350.28,7943.67,15827.73,19772.77,33425.35,27698.62,35903.31,90332.55,104781.16,159215.78,96734.53
d_1,47.74,38.84,121.74,62.87,127.13,337.0,7131.54,13531.64,28750.4,11818.6,25202.2,32097.86,84424.43,79677.34,138425.47,122729.98
c_1,35.4,33.98,52.23,150.56,219.29,291.26,5570.26,12679.79,8478.84,13792.12,17238.52,29626.89,73338.51,71506.69,126462.0,115680.71
b_1,29.09,34.31,44.41,44.6,257.7,470.93,4232.96,10611.35,10603.64,11031.57,9456.53,18870.2,56134.08,47394.35,115438.28,90386.41
a_1,21.12,25.19,37.5,35.5,59.38,569.66,3765.88,6601.02,8744.72,8297.47,14879.5,16726.22,49353.72,33154.46,95586.12,75551.52
h_1,13.38,11.38,15.06,19.83,39.68,92.45,3004.97,5194.0,4492.46,5142.67,6268.97,8276.43,17893.18,18544.85,52896.63,38564.9
g_1,9.66,7.6,16.24,15.87,28.96,74.45,1222.21,5563.84,3710.02,3070.96,5060.26,7567.98,15269.47,16912.71,23038.93,32777.42
c_0,9.14,8.79,10.8,12.7,27.19,80.4,1629.54,3055.45,5413.28,3055.36,8156.17,7011.51,16802.94,16623.87,38314.64,30174.9
d_0,8.37,7.24,7.84,27.54,29.42,80.75,1389.83,2885.5,3380.77,5418.76,4517.21,6907.57,14697.5,13345.83,33000.52,28775.69
b_0,8.69,7.87,10.0,16.16,21.23,47.32,1358.4,2749.61,2749.71,3562.16,6865.51,5976.92,16805.89,29321.04,33996.34,26716.88
f_0,6.55,5.89,10.75,13.15,29.38,72.59,1236.46,2595.91,3287.33,3103.48,4423.75,8169.57,14654.61,14912.94,23987.05,42794.06
h_0,7.6,5.22,7.05,10.31,16.23,45.37,743.89,2227.26,2460.24,2461.07,3163.71,3863.8,7656.42,11147.7,28233.13,15707.82
a_0,6.66,4.21,8.04,9.21,21.18,30.37,988.82,1859.06,2213.69,2746.77,2084.7,4322.84,10404.62,17691.35,21911.13,21331.76
g_0,3.85,4.35,8.96,8.04,12.88,38.71,664.14,1295.96,1919.31,1794.9,2760.15,4664.12,7993.61,7895.33,12420.26,12934.83
e_0,5.38,3.43,5.86,8.68,16.6,41.08,701.65,1460.36,1834.64,2055.57,2754.12,2747.44,10244.34,8626.31,20366.96,26050.58
