,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,1.46,2.16,1.92,1.94,1.89,0.98,0.95,0.7,0.89,0.76,0.85,0.72,0.65,1.19,0.67
f_1,2.22,0.67,1.86,2.36,2.1,1.8,0.68,0.89,0.76,0.82,0.75,1.54,0.69,0.44,0.5,0.54
d_1,2.21,2.03,0.66,1.85,1.78,2.25,0.95,0.72,0.86,1.61,0.78,0.74,0.61,0.58,0.78,0.49
c_1,2.19,2.12,2.97,0.63,2.84,1.77,1.0,0.88,1.03,0.48,0.79,0.75,0.72,0.65,0.81,0.64
b_1,2.34,2.25,2.36,1.37,0.62,2.76,1.28,1.2,0.89,0.84,1.41,0.84,0.96,0.7,0.85,0.65
a_1,2.85,2.75,2.53,2.93,1.45,0.57,1.29,1.29,1.21,1.11,1.18,0.92,2.18,1.08,0.75,1.03
h_1,2.68,2.9,2.34,2.68,2.47,2.2,0.61,1.36,0.88,1.01,0.84,0.85,0.9,1.14,0.77,0.65
g_1,2.7,3.07,2.73,2.98,2.52,2.44,1.03,0.59,0.97,0.98,0.89,1.07,0.85,0.67,1.04,0.98
c_0,3.28,3.52,1.78,8.32,3.25,1.98,1.35,1.28,0.65,1.41,1.38,1.01,0.94,0.88,1.15,0.73
d_0,1.64,3.29,5.14,3.43,3.41,2.95,1.46,1.46,1.09,0.66,1.26,1.05,1.29,0.86,1.05,1.02
b_0,2.8,3.4,2.82,3.14,5.96,2.87,1.43,1.45,0.71,1.03,0.64,0.8,1.32,1.03,1.09,0.78
f_0,2.65,6.51,3.04,3.3,2.88,2.47,1.31,1.1,0.99,1.11,1.23,0.63,1.11,1.22,1.88,0.78
a_0,3.22,3.47,3.44,4.24,4.24,4.55,1.53,1.84,1.25,1.17,0.61,1.07,0.61,0.85,1.11,0.81
h_0,3.32,4.0,3.59,3.7,3.05,2.81,2.85,1.65,1.18,1.18,1.0,0.93,1.05,1.6,1.01,0.98
e_0,5.09,5.18,3.47,3.5,3.42,3.74,1.68,1.22,1.21,1.43,0.98,0.65,1.13,0.96,0.57,1.01
g_0,3.77,4.6,3.71,3.23,3.97,3.02,1.87,2.73,1.27,1.28,1.24,1.31,1.35,0.91,1.09,
