,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.23,0.26,0.17,0.15,0.14,0.21,0.39,0.23,0.16,0.19,0.19,0.17,0.14,0.08,0.15
f_1,0.38,0.89,0.19,0.23,0.15,0.11,0.17,0.17,0.19,0.15,0.16,0.08,0.19,0.13,0.07,0.16
c_1,0.19,0.2,0.89,0.2,0.35,0.12,0.18,0.19,0.07,0.13,0.11,0.18,0.18,0.12,0.11,0.16
d_1,0.25,0.2,0.18,0.9,0.21,0.12,0.19,0.09,0.35,0.17,0.2,0.17,0.19,0.1,0.11,0.15
b_1,0.19,0.25,0.2,0.21,0.88,0.26,0.19,0.16,0.22,0.15,0.06,0.15,0.17,0.09,0.1,0.15
a_1,0.22,0.25,0.21,0.25,0.13,0.88,0.24,0.22,0.17,0.15,0.18,0.19,0.19,0.06,0.15,0.15
h_1,0.25,0.36,0.26,0.28,0.2,0.14,0.58,0.22,0.24,0.27,0.19,0.2,0.14,0.12,0.17,0.26
d_0,0.26,0.27,0.5,0.15,0.21,0.17,0.22,0.45,0.19,0.18,0.22,0.23,0.24,0.13,0.16,0.2
c_0,0.29,0.34,0.19,0.28,0.12,0.18,0.24,0.25,0.45,0.19,0.44,0.18,0.26,0.19,0.18,0.21
g_1,0.25,0.19,0.27,0.45,0.17,0.17,0.22,0.21,0.25,0.56,0.22,0.31,0.21,0.11,0.15,0.11
b_0,0.28,0.28,0.31,0.29,0.13,0.12,0.27,0.26,0.28,0.2,0.47,0.2,0.24,0.31,0.16,0.21
f_0,0.22,0.18,0.32,0.27,0.25,0.16,0.25,0.28,0.23,0.22,0.22,0.44,0.23,0.14,0.31,0.19
h_0,0.24,0.38,0.3,0.28,0.21,0.16,0.15,0.23,0.22,0.24,0.23,0.18,0.16,0.16,0.15,0.26
a_0,0.27,0.28,0.28,0.29,0.22,0.1,0.27,0.26,0.22,0.23,0.21,0.22,0.32,0.38,0.14,0.21
e_0,0.14,0.33,0.27,0.28,0.24,0.16,0.31,0.23,0.28,0.2,0.24,0.22,0.25,0.16,0.4,0.21
g_0,0.21,0.24,0.27,0.4,0.24,0.14,0.26,0.19,0.24,0.16,0.21,0.32,0.18,0.18,0.19,0.16
