,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.51,0.9,0.76,0.83,0.62,0.36,0.57,0.43,0.37,0.35,,0.3,0.36,0.29,0.33
e_1,0.66,1.0,1.0,0.96,1.01,0.71,0.49,0.39,0.71,0.44,0.33,0.43,0.33,0.33,0.3,
c_1,1.11,1.0,1.0,0.84,1.33,0.78,0.55,0.42,0.35,,0.4,0.42,0.36,0.26,0.32,0.3
d_1,1.32,1.04,1.19,1.0,0.98,0.88,0.51,0.37,,0.59,0.3,0.32,0.4,0.32,0.29,0.23
b_1,1.2,0.99,0.75,1.03,1.0,1.31,0.56,0.54,0.55,0.53,,0.42,0.46,0.38,0.4,0.3
a_1,1.62,1.42,1.29,1.13,0.76,1.0,0.74,0.63,0.69,0.7,,,0.7,,,
h_1,2.74,2.05,1.81,1.97,1.78,1.36,1.0,1.03,0.84,0.92,0.71,0.79,,0.58,0.72,0.66
g_1,1.76,2.58,2.38,2.71,1.83,1.59,0.98,1.0,1.02,0.9,0.81,1.12,0.73,0.91,,0.59
d_0,2.35,1.4,2.86,,1.83,1.45,1.19,0.98,1.0,0.94,0.84,0.87,1.12,0.88,0.99,0.53
c_0,2.71,2.26,,1.7,1.88,1.44,1.09,1.11,1.06,1.0,1.35,0.96,0.87,0.93,1.01,0.94
b_0,2.84,3.0,2.48,3.29,,,1.42,1.23,1.19,0.74,1.0,0.94,0.77,0.98,0.66,0.91
f_0,,2.31,2.39,3.14,2.38,,1.27,0.89,1.14,1.04,1.06,1.0,1.44,0.81,0.67,0.93
h_0,3.35,3.01,2.78,2.48,2.15,1.42,,1.37,0.9,1.15,1.31,0.69,,1.2,0.91,0.8
a_0,2.81,3.07,3.9,3.16,2.62,,1.72,1.1,1.14,1.07,1.02,1.24,0.84,1.0,0.98,
g_0,3.5,3.35,3.13,3.48,2.49,,1.4,,1.01,0.99,1.52,1.5,1.1,1.02,,0.96
e_0,3.04,,3.33,4.26,3.3,,1.52,1.7,1.88,1.07,1.1,1.08,1.25,,1.04,1.0
