,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,75.51,94.69,68.35,86.09,101.21,18.34,31.71,17.83,16.39,18.39,,8.47,15.62,17.48,10.44
e_1,57.03,1.15,114.28,102.53,105.22,64.1,26.94,44.4,13.1,15.97,15.0,25.95,9.82,16.92,,11.45
c_1,82.95,98.58,1.15,109.37,83.56,137.36,29.72,24.67,11.46,,19.66,12.97,11.08,17.65,21.59,14.79
d_1,84.88,122.38,78.9,1.15,109.27,73.96,21.55,17.53,,18.88,23.75,18.54,15.43,19.33,20.39,8.07
b_1,110.61,95.92,70.51,91.14,1.16,147.92,24.63,26.64,25.68,29.67,,25.95,18.78,15.04,19.32,16.9
a_1,192.11,208.76,138.08,164.05,91.65,1.16,57.47,55.5,42.8,27.09,35.63,27.32,25.41,,28.23,19.72
h_1,93.59,84.5,89.57,102.53,88.78,80.12,2.0,25.62,18.88,16.39,22.8,17.3,,17.65,18.35,12.24
g_1,158.7,141.96,122.74,136.71,118.37,128.2,28.73,2.0,26.75,23.07,21.11,19.22,11.37,,28.23,
d_0,104.29,57.24,97.47,,94.7,91.57,24.63,28.96,3.09,23.07,21.92,14.03,12.0,25.38,15.96,12.24
c_0,101.39,98.58,,59.65,86.09,91.57,23.94,33.3,20.06,3.08,19.66,16.22,16.0,22.56,15.96,16.14
b_0,110.61,93.39,94.69,86.34,,113.12,33.15,26.64,29.18,11.98,3.05,43.25,14.4,16.92,21.59,25.36
f_0,,147.88,110.47,131.24,118.37,120.19,41.05,14.8,16.46,29.67,23.75,3.0,18.78,,21.59,15.43
h_0,73.0,122.38,87.21,82.02,129.14,113.12,,33.3,15.66,15.57,16.76,18.54,,20.3,17.48,11.09
a_0,146.0,161.32,236.71,156.24,123.52,,43.1,,45.86,32.79,16.76,,20.57,2.84,,23.67
e_0,228.12,,150.64,149.14,177.56,147.92,43.1,39.18,45.86,34.61,28.5,19.96,28.8,,2.98,19.72
g_0,135.19,118.3,118.36,193.0,105.22,147.92,19.16,,19.45,24.92,21.92,27.32,10.8,36.91,26.21,
