,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.45,0.73,1.0,0.96,0.76,0.25,0.18,0.25,0.17,0.17,0.21,0.11,0.17,0.12,0.5
f_1,0.77,0.17,0.69,0.76,0.84,0.63,0.17,0.15,0.25,0.14,0.17,0.29,0.08,0.15,0.15,0.15
d_1,0.76,0.76,0.16,0.92,0.8,0.92,0.22,0.46,0.13,0.16,0.15,0.17,0.1,0.15,0.07,0.14
c_1,0.66,0.86,1.0,0.15,0.72,0.68,0.25,0.08,0.24,0.31,0.17,0.13,0.11,0.14,0.12,0.11
b_1,0.88,0.91,0.9,0.37,0.13,0.79,0.3,0.17,0.24,0.27,0.45,0.18,0.12,0.17,0.12,0.19
a_1,0.77,1.1,0.92,0.9,0.36,0.1,0.19,0.17,0.42,0.17,0.17,0.15,0.15,0.54,0.12,0.13
h_1,0.62,0.67,0.62,0.58,0.59,0.58,0.06,0.13,0.19,0.11,0.12,0.12,0.18,0.13,0.11,0.13
d_0,0.37,0.61,1.62,0.54,0.64,0.66,0.18,0.07,0.2,0.16,0.13,0.13,0.09,0.13,0.11,0.14
g_1,0.73,0.66,0.48,0.69,0.73,0.68,0.14,0.16,0.05,0.12,0.15,0.12,0.07,0.11,0.15,0.12
c_0,0.63,0.64,0.31,1.19,0.66,0.78,0.18,0.21,0.17,0.06,0.14,0.15,0.09,0.12,0.11,0.15
b_0,0.59,0.53,0.58,0.74,1.23,0.76,0.16,0.15,0.17,0.07,0.06,0.12,0.08,0.1,0.09,0.1
f_0,0.6,1.36,0.58,0.65,0.56,0.61,0.16,0.13,0.12,0.11,0.12,0.05,0.09,0.11,0.05,0.11
h_0,0.58,0.53,0.59,0.63,0.73,0.57,0.29,0.12,0.16,0.11,0.11,0.12,0.17,0.1,0.1,0.12
a_0,0.71,0.62,0.5,0.56,0.77,1.33,0.2,0.12,0.18,0.1,0.07,0.12,0.1,0.04,0.09,0.15
g_0,0.54,0.65,0.6,0.64,0.77,0.53,0.11,0.13,0.36,0.11,0.11,0.1,0.07,0.13,0.12,0.15
e_0,1.12,0.82,0.64,0.56,0.47,0.58,0.13,0.12,0.16,0.1,0.1,0.06,0.09,0.12,0.06,0.04
