,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,9317.8,252.79,193.73,246.27,313.14,1882.03,233615.78,283987.84,951323.07,704683.75,1260191.5,,6966346.65,2852725.48,11897226.03,30498623.05
e_1,123.75,10675.46,189.08,303.62,452.79,1429.18,187840.15,480563.11,1429891.01,561096.47,915782.34,1968556.01,5838815.54,4494052.43,,19729086.03
d_1,117.84,123.95,15731.4,203.15,450.77,1453.89,191750.39,686381.47,,1310756.66,785043.15,2063266.09,7328869.49,6124628.1,13211700.36,31359525.24
c_1,123.54,145.35,226.02,22859.34,707.78,1370.82,261317.11,399793.62,653508.15,,1140169.52,1806427.99,6800458.96,4779066.37,12100956.06,28385124.82
b_1,140.32,138.93,198.54,325.66,37682.78,3679.08,201478.16,684817.57,698904.6,605717.32,,1765966.55,4606143.49,4275432.17,11013012.44,28381310.58
a_1,140.14,109.09,198.8,385.09,317.37,265664.93,198536.87,457136.28,757571.78,757571.78,961256.98,1929336.67,,,,
h_1,639.98,571.44,713.31,942.1,1242.29,9130.07,9519842.92,2311259.29,2987817.17,2437429.8,3292305.17,5701000.71,,16127181.64,50443530.22,176449595.38
g_1,422.27,371.84,1124.53,916.48,1773.36,7414.39,747782.22,31313835.49,1995362.08,1296985.35,4003482.87,12166101.49,38413215.23,11847285.6,37056624.2,
d_0,738.67,620.1,,2335.83,2057.84,11240.44,726705.57,2868442.95,21074374.57,2722526.86,6861063.45,7975862.2,50365930.56,21770723.3,61286153.22,155167888.45
c_0,738.67,920.75,1053.38,,1394.02,7493.62,842978.46,2007910.06,2924195.51,23191895.45,11083256.34,8640517.39,30429416.38,21770723.3,40857435.48,174563874.51
b_0,642.17,567.09,898.55,1080.36,,9946.47,1202164.46,2458082.65,3155804.74,3719341.3,38737959.31,6686249.67,39876609.55,54751883.05,64696749.73,144532091.78
f_0,,691.73,879.7,1226.92,2527.91,11295.8,1217654.33,2306057.65,3327923.66,4351900.17,5806197.1,76776690.34,30634800.7,,56185572.21,180553074.34
h_0,1520.98,1080.7,1461.42,2187.51,1908.88,,,4888013.35,5638114.56,5638114.56,7588361.92,10087358.24,,33041055.06,168619964.93,247890163.26
a_0,634.01,786.26,981.46,1685.13,2243.45,,1122733.32,1692639.76,3245527.51,4056909.39,4813075.13,,40527867.95,225984922.04,71232813.91,
e_0,763.24,,784.56,1221.24,2012.97,,1057760.32,3286019.77,4076943.51,3873096.34,6401704.5,10749361.61,31818754.35,28607671.13,715845808.9,
g_0,641.33,1209.21,2994.31,1666.03,3814.05,,1269312.39,,3244388.73,5098325.15,4851818.15,19858031.19,45819006.27,,,
