,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.17,11.26,13.5,14.65,17.18,11.59,2.52,3.65,3.38,2.26,2.55,,2.76,1.0,2.05,2.33
e_1,7.61,0.17,15.98,10.95,13.7,12.48,3.85,3.4,2.71,2.3,2.62,2.7,3.17,2.16,1.63,
d_1,10.91,13.82,0.16,12.71,13.0,10.21,3.77,1.64,,2.87,2.84,3.3,2.86,2.29,1.11,2.9
c_1,11.51,19.28,12.36,0.15,12.26,17.45,2.98,3.14,1.37,,2.59,2.18,4.72,1.56,1.91,2.3
b_1,12.49,13.7,13.93,6.45,0.13,15.87,4.27,3.53,2.98,2.84,,1.99,3.45,1.54,1.87,2.33
a_1,14.23,13.57,13.46,12.69,6.1,0.1,4.46,4.92,2.46,3.5,2.43,2.22,,2.79,1.58,
h_1,3.86,3.62,3.34,4.24,3.03,2.38,0.07,0.83,0.56,0.65,0.6,0.64,0.66,,0.43,0.74
g_1,3.3,4.25,4.03,3.04,4.09,2.68,0.75,0.06,0.71,0.59,0.79,0.69,0.63,0.32,,
d_0,2.72,1.29,,3.24,2.76,2.98,0.51,1.23,0.08,0.5,0.45,0.47,0.48,0.49,0.29,0.44
c_0,2.7,2.48,1.39,,3.69,2.55,0.67,0.65,0.44,0.08,0.69,0.5,0.57,0.45,0.37,
b_0,2.21,2.54,2.34,2.78,,3.04,0.71,0.93,0.59,0.26,0.07,0.63,0.52,0.39,0.48,0.42
f_0,,2.21,2.39,2.97,1.99,3.02,0.64,0.55,0.41,0.62,0.67,0.06,0.48,0.28,0.23,
a_0,3.74,2.44,3.34,2.18,2.54,,1.03,1.09,0.5,0.5,0.29,0.72,0.05,0.29,0.48,
h_0,1.75,2.09,1.26,1.47,1.36,1.81,,0.46,0.32,0.35,0.31,0.33,0.26,,0.3,0.38
g_0,1.69,2.23,2.21,1.57,1.62,2.18,0.31,,0.37,0.42,0.31,0.35,0.32,0.16,,0.37
e_0,3.77,,1.93,3.36,3.1,,0.86,,0.52,,0.48,,,0.3,0.34,0.04
