,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.41,0.48,0.88,1.09,0.87,0.84,0.53,0.47,0.48,0.33,0.46,0.42,0.33,0.53,0.32,0.38
f_1,0.95,0.4,0.7,0.8,0.83,0.62,0.33,0.41,0.46,0.37,0.49,0.3,0.25,0.3,0.4,0.33
d_1,0.88,0.93,0.39,0.81,0.78,0.72,0.41,0.5,0.32,0.4,0.35,0.41,0.31,0.4,0.34,0.21
c_1,0.6,1.01,0.97,0.39,0.95,0.77,0.42,0.23,0.41,0.46,0.34,0.32,0.31,0.33,0.31,0.33
b_1,0.8,0.98,0.8,0.47,0.37,1.12,0.46,0.38,0.44,0.51,0.35,0.62,0.35,0.39,0.37,0.32
a_1,0.87,1.02,0.88,0.87,0.45,0.31,0.5,0.42,0.47,0.37,0.33,0.55,0.33,0.44,0.61,0.35
h_1,0.67,0.79,0.73,0.67,0.7,0.78,0.25,0.31,0.46,0.33,0.33,0.31,0.3,0.3,0.28,0.31
d_0,0.46,0.7,0.97,0.88,0.76,0.68,0.44,0.26,0.5,0.29,0.36,0.34,0.27,0.35,0.35,0.33
g_1,0.78,0.72,0.79,0.82,0.75,0.73,0.28,0.3,0.23,0.34,0.38,0.28,0.22,0.27,0.27,0.34
c_0,0.81,0.67,0.46,1.21,0.66,1.01,0.42,0.47,0.41,0.24,0.34,0.38,0.28,0.31,0.31,0.28
f_0,0.63,0.94,0.79,0.71,0.75,0.68,0.4,0.3,0.27,0.31,0.23,0.34,0.26,0.4,0.35,0.19
b_0,0.63,0.73,0.61,1.03,0.86,0.65,0.39,0.29,0.47,0.2,0.32,0.22,0.28,0.34,0.35,0.3
h_0,0.69,0.73,0.74,0.73,0.66,0.6,0.51,0.34,0.46,0.31,0.35,0.35,0.32,0.26,0.32,0.3
e_0,0.82,1.02,0.68,0.75,0.63,0.65,0.4,0.35,0.41,0.35,0.19,0.29,0.31,0.19,0.39,0.26
a_0,0.77,0.66,0.75,0.92,0.87,0.77,0.38,0.3,0.42,0.3,0.29,0.18,0.3,0.23,0.2,0.24
g_0,0.71,0.82,0.77,0.71,0.69,0.7,0.3,0.32,0.48,0.31,0.37,0.3,0.23,0.28,0.34,0.32
