,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.3,0.99,0.57,0.6,0.5,0.35,0.87,0.82,1.09,0.89,1.12,0.52,0.89,1.26,1.21,0.56
e_1,0.69,2.31,0.49,0.63,0.45,0.42,1.27,0.93,2.16,1.27,1.4,1.28,1.14,1.4,1.4,0.58
d_1,0.62,0.53,2.37,0.47,0.46,0.54,0.98,0.99,0.54,2.33,1.46,1.18,0.96,1.63,1.29,1.1
c_1,0.61,0.6,0.53,2.44,0.96,0.38,0.89,0.78,1.11,0.45,0.79,1.0,0.97,1.34,1.11,0.77
b_1,0.54,0.51,0.61,0.57,2.61,0.92,0.95,0.88,1.2,0.91,0.44,1.17,0.7,1.35,1.14,0.94
a_1,0.6,0.57,0.65,0.54,0.56,2.98,1.25,1.02,1.1,1.19,0.96,1.11,0.52,1.67,1.3,0.87
h_1,1.01,0.66,0.73,0.72,0.55,0.47,3.1,1.5,1.5,1.5,1.27,1.2,1.01,1.09,2.15,1.18
g_1,0.63,0.7,1.24,0.69,0.48,0.47,1.04,3.36,0.87,1.29,1.27,1.67,0.93,1.62,1.2,0.98
d_0,0.72,0.68,0.39,1.37,0.67,0.51,1.28,1.16,2.7,1.05,1.33,1.26,1.21,1.73,1.43,1.05
c_0,0.83,0.77,0.74,0.4,0.49,0.53,1.28,1.32,1.59,2.79,3.27,1.63,1.54,1.84,1.54,1.37
b_0,0.86,0.7,0.74,0.75,0.39,0.43,1.36,1.18,1.56,1.35,2.81,1.09,2.74,2.25,1.65,1.23
f_0,0.52,0.58,0.83,0.8,0.6,0.63,1.43,1.13,1.69,1.39,1.53,2.91,1.19,1.74,1.71,2.59
a_0,0.95,0.73,0.73,0.76,0.57,0.26,1.43,1.43,1.58,1.25,1.72,1.31,3.13,1.74,1.62,0.85
h_0,1.16,0.73,0.78,0.73,0.57,0.39,0.72,1.72,1.23,1.22,1.27,1.28,1.17,1.09,2.09,1.11
g_0,0.66,0.7,1.05,0.65,0.55,0.57,1.34,0.8,1.5,1.27,1.2,2.02,1.36,1.83,1.1,1.39
e_0,0.77,0.54,0.76,0.89,0.58,0.47,1.26,1.38,1.56,1.5,1.55,0.97,1.5,1.84,1.87,3.45
